frame,x,y,z
2001,0.1709795,0.8275082,0.3218132
2002,0.1698628,0.8207983,0.3238866
2003,0.1674117,0.8098025,0.3278489
2004,0.1664152,0.8049607,0.3294797
2005,0.165736,0.7999236,0.3308545
2006,0.1655907,0.795051,0.3324276
2007,0.1652692,0.790179,0.3339632
2008,0.1658871,0.7871237,0.3351359
2009,0.1659883,0.7833666,0.3363805
2010,0.1666846,0.7820333,0.336807
2011,0.167493,0.7814749,0.3366586
2012,0.1680596,0.7795377,0.3371471
2013,0.1701376,0.781011,0.3359676
2014,0.1714842,0.7811417,0.3354995
2015,0.1728483,0.7811941,0.3350069
2016,0.174821,0.7837551,0.3329943
2017,0.1765002,0.7849613,0.3318786
2018,0.1783305,0.7879649,0.3294627
2019,0.1801836,0.7903702,0.3276353
2020,0.182066,0.7937455,0.325698
2021,0.183842,0.7975378,0.3233445
2022,0.1856878,0.8008149,0.3211933
2023,0.1871176,0.806267,0.318067
2024,0.1886044,0.8109786,0.3152946
2025,0.1900981,0.8155683,0.3124376
2026,0.1914014,0.8206374,0.3091975
2027,0.1928903,0.8254277,0.3062927
2028,0.1936963,0.8297507,0.3027917
2029,0.1949735,0.8343104,0.2996674
2030,0.1961741,0.8378022,0.2964026
2031,0.1973229,0.8409519,0.2933984
2032,0.1985674,0.8444874,0.2904728
2033,0.2003593,0.8459612,0.2880479
2034,0.201658,0.8483482,0.2851658
2035,0.2030496,0.8479626,0.2823223
2036,0.2044278,0.848105,0.2795132
2037,0.2058905,0.8487012,0.2767131
2038,0.2077462,0.8437685,0.2739608
2039,0.2094484,0.8402983,0.2711295
2040,0.2113558,0.8359722,0.2683009
2041,0.2130568,0.8321211,0.2655141
2042,0.2149782,0.8253144,0.2629613
2043,0.2185375,0.8142285,0.257389
2044,0.2201078,0.8087704,0.2544085
2045,0.2216337,0.8031617,0.2514718
2046,0.2229328,0.797726,0.2486435
2047,0.2243324,0.7928824,0.2461945
2048,0.2257353,0.7877122,0.2435623
2049,0.2266285,0.7847886,0.2420803
2050,0.2278633,0.7803675,0.2399524
2051,0.229352,0.7778624,0.2394658
2052,0.2305078,0.7751439,0.2386482
2053,0.2316459,0.7734206,0.2385563
2054,0.2326173,0.7730277,0.2390301
2055,0.2333349,0.772786,0.2394945
2056,0.2338901,0.7733834,0.2402173
2057,0.2346011,0.77343,0.2408038
2058,0.2341442,0.7770063,0.2422899
2059,0.2337961,0.7793494,0.2436332
2060,0.2333523,0.7823786,0.245134
2061,0.2327556,0.7857831,0.2467506
2062,0.2321091,0.7892742,0.2483953
2063,0.2311831,0.7934754,0.2499788
2064,0.2299993,0.7978785,0.2514739
2065,0.2290027,0.8022251,0.2530358
2066,0.2271551,0.8077824,0.2543814
2067,0.2239671,0.8175997,0.2576517
2068,0.2221097,0.8223704,0.2596825
2069,0.2204348,0.8270249,0.2615111
2070,0.2181696,0.8307734,0.2641721
2071,0.2161367,0.8351484,0.2664585
2072,0.2137016,0.837869,0.2688895
2073,0.2115068,0.8415406,0.2711855
2074,0.2090167,0.8426524,0.2741206
2075,0.2065519,0.843782,0.2771706
2076,0.2041474,0.8457606,0.2799443
2077,0.201332,0.8438898,0.2841474
2078,0.1988572,0.8440681,0.2874244
2079,0.196264,0.8419236,0.2911644
2080,0.19375,0.840112,0.2948212
2081,0.1915691,0.8370548,0.2984335
2082,0.1893695,0.833096,0.3020164
2083,0.1870634,0.8300223,0.305675
2084,0.1858814,0.8250868,0.3094568
2085,0.1847366,0.8199967,0.312837
2086,0.1836218,0.8155983,0.3163184
2087,0.1822858,0.8113688,0.3196821
2088,0.1810024,0.8077859,0.3226861
2089,0.179791,0.8040555,0.3257298
2090,0.1786495,0.800175,0.3287143
2091,0.1775015,0.7962021,0.3317139
2092,0.1770869,0.7935051,0.333344
2093,0.1763823,0.7900099,0.3357187
2094,0.1768623,0.7870277,0.3374499
2095,0.1767316,0.7841182,0.3393287
2096,0.1772245,0.7829884,0.3402937
2097,0.1775898,0.7813954,0.3414469
2098,0.1778229,0.7798269,0.3426002
2099,0.1790761,0.7813165,0.3420384
2100,0.1798307,0.7817399,0.3420275
2101,0.1805948,0.7839706,0.3410608
2102,0.1816118,0.7856313,0.340474
2103,0.1830852,0.7883862,0.3393005
2104,0.1843767,0.7912481,0.3380871
2105,0.1856174,0.7953099,0.3363303
2106,0.1866405,0.8000366,0.3340158
2107,0.1876685,0.8050162,0.3317213
2108,0.1888224,0.8094911,0.3296611
2109,0.1895538,0.8165694,0.3258639
2110,0.1906223,0.8220355,0.3231651
2111,0.1918985,0.828303,0.3189777
2112,0.1931473,0.8341714,0.3156124
2113,0.194292,0.8401337,0.3115617
2114,0.1957439,0.8447155,0.3073402
2115,0.1990368,0.8531402,0.2991993
2116,0.2009334,0.856185,0.2951521
2117,0.2026872,0.860104,0.2910611
2118,0.2051418,0.8600251,0.2868233
2119,0.2070303,0.8619679,0.2827043
2120,0.2089532,0.8600078,0.2789232
2121,0.2109148,0.8602952,0.2749527
2122,0.2129318,0.856625,0.2715586
2123,0.2149157,0.8523375,0.2683657
2124,0.2169089,0.8493963,0.2649629
2125,0.2185487,0.8432923,0.2624353
2126,0.222075,0.8338429,0.2565031
2127,0.2239481,0.8268719,0.2546261
2128,0.2255465,0.8215245,0.2524276
2129,0.2270977,0.8166037,0.2502825
2130,0.2285205,0.8117056,0.2485091
2131,0.2300255,0.8064269,0.2465393
2132,0.2312209,0.8031677,0.2456655
2133,0.2326381,0.7986526,0.2442261
2134,0.2337786,0.7953822,0.2442778
2135,0.2348801,0.7919742,0.243793
2136,0.2359714,0.7905298,0.2443004
2137,0.237071,0.7879369,0.2442384
2138,0.2380165,0.7879671,0.2454009
2139,0.2387374,0.7878737,0.2463462
2140,0.2395728,0.7879022,0.2478129
2141,0.240205,0.7885588,0.2496126
2142,0.2406949,0.7894703,0.2513547
2143,0.2412622,0.7903013,0.2530842
2144,0.2397943,0.7953601,0.2558661
2145,0.2396788,0.7978849,0.2580188
2146,0.2384359,0.8027683,0.2604085
2147,0.2373725,0.8076856,0.2627614
2148,0.2364915,0.8119209,0.2651763
2149,0.2339208,0.8186084,0.267015
2150,0.2317937,0.8243701,0.2688088
2151,0.2296035,0.8302948,0.2706036
2152,0.2270346,0.8360231,0.2725349
2153,0.2246888,0.8408951,0.2745936
2154,0.2223559,0.8459684,0.2765791
2155,0.2199149,0.8498215,0.278736
2156,0.2174664,0.8526101,0.2808185
2157,0.2150844,0.8543962,0.2828586
2158,0.21284,0.8552633,0.2849927
2159,0.2103664,0.8563163,0.2871604
2160,0.2077629,0.8545189,0.2897096
2161,0.205211,0.8534493,0.2921461
2162,0.2023398,0.8512173,0.2945378
2163,0.1997364,0.8486265,0.296996
2164,0.1971145,0.8462241,0.2994249
2165,0.1946984,0.8415537,0.3018908
2166,0.1920654,0.8377709,0.3043893
2167,0.189747,0.8327764,0.3074098
2168,0.1874867,0.8280182,0.3100384
2169,0.1850441,0.8231787,0.312732
2170,0.1837357,0.8178253,0.3154128
2171,0.1820366,0.81317,0.3181224
2172,0.1802452,0.8083233,0.3208256
2173,0.1798,0.8045938,0.3233489
2174,0.1785697,0.8000035,0.3259794
2175,0.1789601,0.797512,0.3280017
2176,0.1787666,0.7943953,0.3300487
2177,0.1784031,0.7909731,0.3322871
2178,0.179404,0.7901226,0.3332311
2179,0.1803407,0.7888007,0.3344381
2180,0.1815424,0.7877694,0.3356943
2181,0.1826286,0.7867218,0.3369156
2182,0.1837842,0.7878779,0.3374828
2183,0.1848055,0.7881429,0.3382613
2184,0.1855377,0.789806,0.3382999
2185,0.1868498,0.791083,0.3382426
2186,0.1881903,0.7926348,0.3381819
2187,0.189469,0.7939479,0.3383087
2188,0.1900531,0.7983096,0.3365944
2189,0.1904106,0.8021401,0.335136
2190,0.1918329,0.8091829,0.3327021
2191,0.1919184,0.8136263,0.3302346
2192,0.192327,0.8181827,0.3280558
2193,0.1925212,0.8232757,0.3254225
2194,0.1926683,0.828303,0.3227444
2195,0.1929752,0.833045,0.3203095
2196,0.1932169,0.8377973,0.3177963
2197,0.1935629,0.8419372,0.3145713
2198,0.1940487,0.8457354,0.3116263
2199,0.1945806,0.8492972,0.3086574
2200,0.1954391,0.8520497,0.3057703
2201,0.1964252,0.8540322,0.3028817
2202,0.1974258,0.8557559,0.2999736
2203,0.198353,0.8580899,0.2970245
2204,0.2002065,0.8558337,0.2940898
2205,0.2016094,0.8561064,0.2911683
