frame,x,y,z
1,0.01715222,0.5196996,-0.3363993
2,0.01634749,0.5240749,-0.3355361
3,0.01534813,0.5267287,-0.335455
4,0.01420682,0.5287296,-0.3365335
5,0.01307426,0.5308628,-0.3373696
6,0.01202105,0.5300694,-0.3383286
7,0.01150778,0.5287285,-0.3394338
8,0.01078969,0.528104,-0.340436
9,0.009440605,0.5214665,-0.3415748
10,0.008234825,0.5169947,-0.3430111
11,0.00735506,0.5092323,-0.3448177
12,0.007873781,0.5017291,-0.3465283
13,0.007630008,0.4949338,-0.3481797
14,0.008508921,0.4917137,-0.3489454
15,0.008790571,0.486825,-0.3501308
16,0.007529564,0.488032,-0.3456277
17,0.007229093,0.4850169,-0.3443585
18,0.006844785,0.4841303,-0.3432247
19,0.007923797,0.4814191,-0.3442949
20,0.008031554,0.4792125,-0.3438987
21,0.008690192,0.4791494,-0.3473456
22,0.008596811,0.4795147,-0.3477876
23,0.008551139,0.4839901,-0.3461903
24,0.008589681,0.481691,-0.3462978
25,0.008764602,0.4935645,-0.3418997
26,0.009331279,0.4973392,-0.3411131
27,0.009775314,0.5017179,-0.3401333
28,0.01065157,0.5056928,-0.3398779
29,0.01156972,0.5101306,-0.3382162
30,0.01194198,0.516267,-0.3356943
31,0.01193556,0.5212933,-0.3323795
32,0.01287543,0.5312006,-0.3277087
33,0.01329416,0.5265408,-0.3299033
34,0.01394311,0.5254722,-0.3308137
35,0.01469375,0.5241317,-0.3304719
36,0.0153247,0.5228003,-0.3302097
37,0.01521043,0.5161964,-0.3291063
38,0.0154814,0.5110761,-0.3291717
39,0.01574746,0.501861,-0.3307638
40,0.01597627,0.4935238,-0.3343922
41,0.01623924,0.48599,-0.3365013
42,0.01530326,0.4853015,-0.3369338
43,0.01467857,0.4827372,-0.335727
44,0.01334969,0.480956,-0.3324246
45,0.01234919,0.4773278,-0.3317036
46,0.01200573,0.4755722,-0.3342386
47,0.01235973,0.472472,-0.3366325
48,0.012024,0.4700698,-0.3377126
49,0.01292993,0.4716832,-0.3406956
50,0.01174813,0.474578,-0.3400467
51,0.01122745,0.4756864,-0.3407011
52,0.009386364,0.4854332,-0.3384179
53,0.008522362,0.4895424,-0.3382906
54,0.008156948,0.4948418,-0.3391214
55,0.007387578,0.5002794,-0.3391517
56,0.005781763,0.5059095,-0.3380524
57,0.003320447,0.5122277,-0.3366393
58,0.001652076,0.5184122,-0.3358537
59,0.0001758784,0.52263,-0.3351566
60,-0.0009562075,0.5266678,-0.3346378
61,-0.001327057,0.5273823,-0.3346839
62,-0.001734599,0.528877,-0.3351397
63,-0.001580385,0.5276004,-0.3369587
64,-0.001793162,0.5256863,-0.3375108
65,-0.00212172,0.5240655,-0.3380701
66,-0.00251414,0.5182687,-0.3378557
67,-0.002742737,0.5089992,-0.3388208
68,-0.002975675,0.503231,-0.3395794
69,-0.001838799,0.4879652,-0.3459809
70,-0.0006083436,0.4760141,-0.3510258
71,-0.0006413534,0.4723187,-0.3512301
72,-0.001612823,0.474199,-0.3464365
73,-0.001953413,0.4726647,-0.3415092
74,-0.002149879,0.4704011,-0.3390308
75,-0.0008433424,0.4675998,-0.3439654
76,-0.0005673468,0.463969,-0.3446003
77,0.0008281171,0.466171,-0.3477139
78,0.001902171,0.4668034,-0.3480939
79,0.002836566,0.4700948,-0.347105
80,0.003575306,0.4748747,-0.3465568
81,0.004510622,0.4785526,-0.3463604
82,0.005101821,0.4842976,-0.3457453
83,0.005938326,0.4902981,-0.3448792
84,0.006209523,0.4943118,-0.3434156
85,0.007019904,0.4972852,-0.3425775
86,0.007935324,0.5013245,-0.3418979
87,0.008347433,0.5046529,-0.3411363
88,0.008891519,0.5064162,-0.3396829
89,0.009438193,0.5095191,-0.3383997
90,0.01008428,0.5073687,-0.3397175
91,0.01077457,0.5082793,-0.3397664
92,0.01179328,0.5054103,-0.341636
93,0.0124855,0.5039994,-0.3423132
94,0.01363454,0.497296,-0.3440014
95,0.01441771,0.4923277,-0.3456827
96,0.0151912,0.4838219,-0.34814
97,0.01624222,0.4751174,-0.3509808
98,0.01617943,0.4689074,-0.3542205
99,0.01726053,0.4672672,-0.3565158
100,0.01635015,0.4628209,-0.3548045
101,0.01409081,0.4585383,-0.3526711
102,0.01225398,0.4552054,-0.3518079
103,0.01202706,0.4527555,-0.3517208
104,0.01129006,0.4495746,-0.3513487
105,0.008934673,0.4490794,-0.3576222
106,0.007321834,0.4480944,-0.3596441
107,0.00710924,0.455473,-0.3576088
108,0.006665443,0.4589887,-0.3579555
109,0.00496218,0.4636479,-0.359052
110,0.003664531,0.469919,-0.3596751
111,0.002196152,0.4762209,-0.3580856
112,0.0008612173,0.4817891,-0.3569846
113,-0.001134135,0.4932033,-0.3552305
114,-0.00241901,0.4980616,-0.3535728
115,-0.003580961,0.5033324,-0.3524312
116,-0.006182753,0.5062655,-0.351158
117,-0.007487956,0.5096819,-0.3503928
118,-0.00720473,0.5089929,-0.3515777
119,-0.007323619,0.5098248,-0.3525224
120,-0.008023538,0.5102251,-0.353224
121,-0.008445699,0.5058578,-0.3536426
122,-0.009002797,0.5041223,-0.3537948
123,-0.01071487,0.4976966,-0.3518711
124,-0.01177717,0.4922517,-0.3514754
125,-0.01191701,0.4817519,-0.3531458
126,-0.01123523,0.477008,-0.3547991
127,-0.01132133,0.4709239,-0.3555942
128,-0.01071605,0.471659,-0.3514678
129,-0.01075093,0.4684443,-0.349267
130,-0.01220138,0.4660475,-0.3431346
131,-0.01137441,0.4665375,-0.3433192
132,-0.01078332,0.4650349,-0.3417896
133,-0.008448452,0.4639768,-0.3422056
134,-0.007122036,0.4655477,-0.3410351
135,-0.005809096,0.4665635,-0.3397772
136,-0.006048144,0.4753362,-0.3341746
137,-0.005289946,0.4806535,-0.33157
138,-0.004529204,0.4866124,-0.3290141
139,-0.003748857,0.4924181,-0.3262057
140,-0.002440359,0.4984577,-0.3231526
141,-0.001542412,0.5045822,-0.3203615
142,-1.51135E-05,0.5104722,-0.3179584
143,0.001212139,0.5163325,-0.3152185
144,0.002362274,0.5225235,-0.3125398
145,0.003500816,0.5261603,-0.3104889
146,0.004435919,0.527693,-0.309793
147,0.007094207,0.5302752,-0.308847
148,0.008472458,0.5315522,-0.3083801
149,0.009766478,0.5276828,-0.3081889
150,0.01107587,0.5264915,-0.3078055
151,0.01167304,0.5183029,-0.3068513
152,0.01244686,0.5104404,-0.3069646
153,0.01244054,0.4995217,-0.3087389
154,0.01297646,0.491722,-0.3104654
155,0.01295093,0.4877104,-0.3112434
156,0.0125174,0.4856365,-0.3099104
157,0.0121144,0.4816886,-0.3089068
158,0.01041803,0.4765185,-0.305702
159,0.009929579,0.4741997,-0.3070241
160,0.009393238,0.4709232,-0.3070168
161,0.009633921,0.4684823,-0.3097754
162,0.009327933,0.4677939,-0.3109328
163,0.009006226,0.4668303,-0.3120364
164,0.006982896,0.4811108,-0.3084823
165,0.005745412,0.4875669,-0.3076305
166,0.00431788,0.4939997,-0.307111
167,0.003119618,0.5003178,-0.3065759
168,0.002195507,0.5074884,-0.3064496
169,0.0009211004,0.5144253,-0.3058946
170,-0.0001876168,0.5203281,-0.3051753
171,-0.001262318,0.5265584,-0.3041939
172,-0.002461118,0.5322425,-0.3028356
173,-0.003596917,0.5363125,-0.3016984
174,-0.004853949,0.5394509,-0.3009627
175,-0.006005086,0.5438267,-0.2999707
176,-0.006596934,0.5388268,-0.3010749
177,-0.007097233,0.5374476,-0.3010703
178,-0.007594985,0.5367897,-0.3010226
179,-0.008091941,0.5284715,-0.3009594
180,-0.008735418,0.5217162,-0.3010145
181,-0.009168666,0.5130022,-0.3012794
182,-0.009508673,0.5042425,-0.3018108
183,-0.00983819,0.495627,-0.3023866
184,-0.00854164,0.4832699,-0.3068767
185,-0.008587923,0.4817211,-0.3067094
186,-0.008868176,0.4833924,-0.3028875
187,-0.008960922,0.4799317,-0.3014029
188,-0.009167619,0.4755388,-0.2992791
189,-0.008683684,0.4738229,-0.2994897
190,-0.007617768,0.4704532,-0.3014215
191,-0.007015196,0.4688658,-0.3025376
192,-0.006931484,0.4724154,-0.3030623
193,-0.006529752,0.4767659,-0.3015223
194,-0.006541667,0.4819686,-0.2990375
195,-0.006260843,0.4860371,-0.2975989
196,-0.006420679,0.4950848,-0.29366
197,-0.005589135,0.5001133,-0.293625
198,-0.004688415,0.5057507,-0.2925532
199,-0.003950424,0.5118721,-0.2908764
200,-0.003040776,0.525502,-0.2838546
201,-0.002743852,0.5279806,-0.2818331
202,-0.001859937,0.5311318,-0.2797181
203,-0.0007914454,0.5317642,-0.2782097
204,-1.394004E-05,0.5264478,-0.2791944
205,0.0003078766,0.5208029,-0.278266
206,0.0008054599,0.5165572,-0.2779849
207,0.0002966672,0.5060756,-0.2787579
208,0.0006569251,0.4967349,-0.2807509
209,0.0009014606,0.4888482,-0.2829974
210,0.001302924,0.4871586,-0.2823034
211,0.001542754,0.4818219,-0.2827587
