frame,x,y,z
6001,0.4968784,-0.1729493,0.4487177
6002,0.4970007,-0.1728773,0.4486393
6003,0.4972159,-0.1727469,0.4484796
6004,0.4974307,-0.1724771,0.4482031
6005,0.4975481,-0.1724008,0.4480812
6006,0.4976391,-0.1721435,0.4475645
6007,0.4976567,-0.172076,0.4472367
6008,0.4977435,-0.1719736,0.446998
6009,0.4975094,-0.1718222,0.4465711
6010,0.4973614,-0.171728,0.4462941
6011,0.4973964,-0.1714901,0.4459298
6012,0.497363,-0.1714779,0.4457299
6013,0.4972936,-0.1713105,0.4455173
6014,0.4972903,-0.1711274,0.4452721
6015,0.4973412,-0.1710198,0.4449561
6016,0.4973033,-0.1710418,0.4446253
6017,0.4972754,-0.1709669,0.444301
6018,0.4972751,-0.1710379,0.444096
6019,0.496998,-0.1706986,0.4438211
6020,0.4968882,-0.1706504,0.4435826
6021,0.496811,-0.1709111,0.4433224
6022,0.496741,-0.1710297,0.4430873
6023,0.4965546,-0.1717232,0.4428381
6024,0.4963942,-0.1719017,0.4425899
6025,0.4962212,-0.1721657,0.44239
6026,0.4961993,-0.1723868,0.4421969
6027,0.4961079,-0.1724227,0.4420758
6028,0.4961319,-0.1725233,0.4418703
6029,0.4961625,-0.1726185,0.4416547
6030,0.4961501,-0.1727424,0.4414442
6031,0.4961025,-0.1728376,0.4413079
6032,0.4960856,-0.1729151,0.4411335
6033,0.4961788,-0.172582,0.4410369
6034,0.4962299,-0.1724698,0.440886
6035,0.4962651,-0.1724217,0.4407337
6036,0.496449,-0.1721824,0.4405282
6037,0.496503,-0.1721241,0.4403618
6038,0.4966058,-0.1718765,0.4402018
6039,0.4966713,-0.1717481,0.440038
6040,0.496767,-0.1714656,0.4398799
6041,0.4968404,-0.1712805,0.4397113
6042,0.496909,-0.1711148,0.4395421
6043,0.4969903,-0.1708743,0.4393651
6044,0.4970804,-0.1705703,0.4392213
6045,0.4971892,-0.1703284,0.4390726
6046,0.4972791,-0.1701715,0.4388904
6047,0.4973496,-0.1699995,0.4387133
6048,0.4974174,-0.1696257,0.4384947
6049,0.4974713,-0.1693847,0.4383189
6050,0.4975237,-0.1692719,0.4382435
6051,0.4975681,-0.1691478,0.4380919
6052,0.4974208,-0.1693973,0.4379663
6053,0.4971719,-0.1697176,0.4379068
6054,0.4969669,-0.1697998,0.43784
6055,0.4967901,-0.1698142,0.4377503
6056,0.4966355,-0.169819,0.4376519
6057,0.4964444,-0.1697626,0.4376533
6058,0.4963124,-0.1697679,0.4375792
6059,0.4962173,-0.1694602,0.4376735
6060,0.4960082,-0.1691699,0.4377763
6061,0.4958665,-0.169041,0.4377953
6062,0.495003,-0.1687017,0.4383992
6063,0.4945059,-0.168591,0.4386742
6064,0.4939688,-0.1684844,0.4389937
6065,0.4930809,-0.1690069,0.4395961
6066,0.4923882,-0.1691502,0.4400795
6067,0.4913502,-0.1693925,0.4405907
6068,0.4904665,-0.169506,0.4410495
6069,0.4893492,-0.1695653,0.4415571
6070,0.4881294,-0.1698766,0.4421422
6071,0.4870481,-0.1701163,0.4427208
6072,0.4857723,-0.1707288,0.4434508
6073,0.4844919,-0.1713863,0.4442379
6074,0.4832057,-0.1718862,0.4450118
6075,0.4819069,-0.1724232,0.445756
6076,0.4805495,-0.1729584,0.446444
6077,0.4791627,-0.173632,0.4470873
6078,0.477764,-0.1742295,0.4477272
6079,0.4761356,-0.1750619,0.4483343
6080,0.4744968,-0.1758739,0.448909
6081,0.4728487,-0.176722,0.4495353
6082,0.4707991,-0.1782844,0.4495227
6083,0.468934,-0.1793359,0.4498139
6084,0.4668333,-0.1803341,0.4498146
6085,0.4648994,-0.1812668,0.4499037
6086,0.4653994,-0.181902,0.4492606
6087,0.4642323,-0.1828941,0.4492309
6088,0.4645261,-0.1835155,0.4489412
6089,0.4630343,-0.1841047,0.4490174
6090,0.4614433,-0.1847403,0.4489743
6091,0.4600432,-0.185324,0.4489649
6092,0.4585252,-0.1859828,0.4489646
6093,0.4570696,-0.1863574,0.4488598
6094,0.4580684,-0.1868665,0.4486215
6095,0.457047,-0.1873376,0.4485435
6096,0.4591949,-0.1876342,0.4481903
6097,0.4591237,-0.1879337,0.4481077
6098,0.4578981,-0.188313,0.447966
6099,0.4567062,-0.1886113,0.4476933
6100,0.4556784,-0.1889528,0.4474917
6101,0.4546248,-0.1896939,0.4472757
6102,0.4535287,-0.1900663,0.4470536
6103,0.453638,-0.190246,0.4469717
6104,0.4528527,-0.1907349,0.4468599
6105,0.453444,-0.1910354,0.446732
6106,0.4526236,-0.1914106,0.446552
6107,0.4517829,-0.191827,0.446414
6108,0.4513174,-0.1921957,0.446417
6109,0.450754,-0.1926298,0.4464518
6110,0.450212,-0.1929253,0.4466462
6111,0.4496767,-0.1928033,0.4470324
6112,0.4492149,-0.1929049,0.4472566
6113,0.4494327,-0.1932252,0.4478863
6114,0.4492876,-0.1933786,0.4483192
6115,0.4494823,-0.1930566,0.4488444
6116,0.4500374,-0.1926,0.4493814
6117,0.4502502,-0.19231,0.4498774
6118,0.4512601,-0.1913805,0.4504701
6119,0.4520216,-0.1909367,0.4510717
6120,0.4535482,-0.1899541,0.4521603
6121,0.4547428,-0.1891783,0.452938
6122,0.4563623,-0.1881149,0.4537731
6123,0.4577654,-0.1871971,0.4543955
6124,0.4592401,-0.186172,0.4549845
6125,0.4609696,-0.1853179,0.4556433
6126,0.4624885,-0.1847375,0.4564256
6127,0.4642434,-0.1838555,0.4568296
6128,0.466037,-0.1831141,0.4573596
6129,0.467822,-0.1822394,0.4577678
6130,0.4698487,-0.1815811,0.4580589
6131,0.4716872,-0.1808472,0.4584778
6132,0.4732397,-0.1798952,0.4586753
6133,0.4749981,-0.1791012,0.4590543
6134,0.4765721,-0.1783803,0.4594044
6135,0.4782873,-0.1775807,0.4596601
6136,0.4799936,-0.1768793,0.4600442
6137,0.4814808,-0.1763245,0.4598968
6138,0.4845895,-0.1749896,0.4602718
6139,0.4859005,-0.1750685,0.4604661
6140,0.4874251,-0.1748491,0.4607311
6141,0.48867,-0.1745943,0.4610564
6142,0.4899549,-0.1748521,0.4611632
6143,0.4912632,-0.1747442,0.461316
6144,0.4923918,-0.1752679,0.4614709
6145,0.4934078,-0.1754155,0.4614941
6146,0.494375,-0.1755066,0.461355
6147,0.4952562,-0.175625,0.4610879
6148,0.4962897,-0.1757891,0.4608608
6149,0.4972775,-0.1760683,0.4605957
6150,0.498302,-0.1762376,0.4602604
6151,0.49923,-0.1763463,0.4597592
6152,0.5001581,-0.1764593,0.4593619
6153,0.5009735,-0.1763304,0.458805
6154,0.5017254,-0.1763729,0.4582487
6155,0.5025526,-0.176409,0.4577413
6156,0.5034104,-0.1764268,0.4572508
6157,0.5044372,-0.1766457,0.4565566
6158,0.5053597,-0.1766725,0.4558966
6159,0.5063538,-0.1766306,0.4553514
6160,0.5073265,-0.1765895,0.4547629
6161,0.5082905,-0.1765772,0.4541639
6162,0.5094817,-0.1763853,0.4536005
6163,0.5104797,-0.1762469,0.4529006
6164,0.5115662,-0.1760595,0.4522386
6165,0.5127274,-0.1759488,0.451714
6166,0.5140775,-0.1757731,0.4512909
6167,0.5154935,-0.1755421,0.4509133
6168,0.5168826,-0.1752952,0.450584
6169,0.5183733,-0.1751051,0.4502852
6170,0.5199435,-0.1748869,0.4499701
6171,0.5215523,-0.1743676,0.449897
6172,0.52306,-0.1738582,0.4496581
6173,0.5248228,-0.1734558,0.4495169
6174,0.5262052,-0.1730083,0.449317
6175,0.5277548,-0.1726212,0.4490221
6176,0.5293937,-0.1719887,0.4486347
6177,0.5308626,-0.1714642,0.4484361
6178,0.5325087,-0.1710109,0.4482372
6179,0.5339741,-0.1704894,0.4480638
6180,0.5354477,-0.1700054,0.448131
6181,0.5369055,-0.1695851,0.4482015
6182,0.5383364,-0.1691963,0.4480391
6183,0.539393,-0.168941,0.4479605
6184,0.5405856,-0.1685531,0.4478872
6185,0.5418202,-0.1681969,0.4477814
6186,0.5426595,-0.1679514,0.4477119
6187,0.5434683,-0.1677116,0.4475045
6188,0.5443603,-0.167429,0.4474208
6189,0.5452244,-0.1671372,0.4472857
6190,0.5460786,-0.1668413,0.4471791
6191,0.5465364,-0.1666146,0.4470295
6192,0.5472606,-0.1662854,0.4467492
6193,0.5475483,-0.1661255,0.4466066
6194,0.5479986,-0.1658352,0.4463509
6195,0.5482067,-0.16564,0.4460648
6196,0.5484624,-0.1654499,0.4458407
6197,0.5484756,-0.1653614,0.4458586
6198,0.5483676,-0.1653696,0.4459976
6199,0.5483614,-0.1653205,0.4458453
6200,0.5486127,-0.1652678,0.4457005
6201,0.548489,-0.1653491,0.4455901
6202,0.5477443,-0.1653791,0.4457023
6203,0.5471033,-0.1654522,0.4455641
6204,0.5462105,-0.1657437,0.4455297
6205,0.5456874,-0.1659037,0.4454781
6206,0.5450508,-0.1659761,0.4452484
6207,0.5444505,-0.1660172,0.4451648
6208,0.5437682,-0.1660706,0.4451385
6209,0.5431368,-0.1663551,0.4452049
6210,0.5424822,-0.1665216,0.4452185
6211,0.5417909,-0.1668561,0.4452416
6212,0.5409492,-0.1671667,0.4454083
6213,0.5403261,-0.1675185,0.4453663
6214,0.539312,-0.1678426,0.445956
