frame,x,y,z
1001,0.07961989,-0.246713,0.4252147
1002,0.08879236,-0.2469981,0.424816
1003,0.1004451,-0.2460377,0.4246335
1004,0.1112068,-0.2456722,0.4243508
1005,0.1241484,-0.2453575,0.4239665
1006,0.1362231,-0.2450499,0.4236295
1007,0.1514839,-0.2448063,0.4232923
1008,0.1663336,-0.2445686,0.4229745
1009,0.181067,-0.2441611,0.4226893
1010,0.1957189,-0.2437473,0.4223762
1011,0.2130409,-0.2427109,0.4220483
1012,0.2289176,-0.2416249,0.4215496
1013,0.2449864,-0.2408112,0.4210983
1014,0.2612684,-0.2398884,0.4206039
1015,0.2791675,-0.2394773,0.419982
1016,0.2966745,-0.2387009,0.419316
1017,0.3147517,-0.2376628,0.4184803
1018,0.3321863,-0.2359302,0.4177137
1019,0.3671259,-0.2327103,0.4159957
1020,0.3841064,-0.2310844,0.4149377
1021,0.4008975,-0.2299166,0.4138728
1022,0.4179043,-0.2281812,0.4128684
1023,0.434323,-0.2263929,0.412184
1024,0.4504735,-0.2253719,0.4115537
1025,0.4831045,-0.2235698,0.4100124
1026,0.4990509,-0.2227462,0.4094274
1027,0.5139381,-0.222466,0.409088
1028,0.5445814,-0.2215383,0.408305
1029,0.5588568,-0.221893,0.4079867
1030,0.5730358,-0.2224873,0.4076896
1031,0.5869866,-0.2234222,0.4074897
1032,0.6004944,-0.2236864,0.407556
1033,0.6142702,-0.2241902,0.4074833
1034,0.6260406,-0.2251239,0.4076527
1035,0.6389245,-0.2258586,0.4076255
1036,0.6488527,-0.227307,0.406965
1037,0.6711677,-0.2291096,0.4065671
1038,0.679231,-0.2300636,0.4069282
1039,0.6885873,-0.2312754,0.4069083
1040,0.6980347,-0.2323867,0.4068798
1041,0.7027048,-0.2341857,0.4059339
1042,0.7062014,-0.234185,0.4060313
1043,0.716203,-0.235713,0.4059786
1044,0.7191355,-0.2368752,0.4064278
1045,0.7225929,-0.2378491,0.406657
1046,0.7253641,-0.2386869,0.4067487
1047,0.7278321,-0.2394827,0.4065132
1048,0.7295161,-0.2402523,0.4060334
1049,0.7306257,-0.2402434,0.4056721
1050,0.731407,-0.2401543,0.4056436
1051,0.7311012,-0.2399533,0.4060142
1052,0.7306129,-0.2399726,0.4063239
1053,0.7305583,-0.2399525,0.4064502
1054,0.7301631,-0.2409204,0.4070742
1055,0.7297629,-0.2412252,0.4075038
1056,0.7282839,-0.2420738,0.4081691
1057,0.7270783,-0.2429321,0.4085624
1058,0.7258834,-0.2438765,0.408881
1059,0.7251713,-0.2456148,0.4086936
1060,0.7242083,-0.2468518,0.408992
1061,0.7232717,-0.2468047,0.4096213
1062,0.7220634,-0.2472271,0.4099942
1063,0.7191236,-0.2461727,0.4105266
1064,0.7163079,-0.2451959,0.4109048
1065,0.7140108,-0.2447585,0.4112924
1066,0.7104118,-0.244699,0.4120443
1067,0.7074517,-0.2444963,0.4126836
1068,0.7044848,-0.2442238,0.4132835
1069,0.6999592,-0.2444256,0.4141235
1070,0.6962121,-0.2442782,0.4148719
1071,0.6902751,-0.2431033,0.4159638
1072,0.6852837,-0.242507,0.4168502
1073,0.67922,-0.2417303,0.4178172
1074,0.672924,-0.2411484,0.4186661
1075,0.6662528,-0.2406737,0.4195378
1076,0.6593063,-0.2400265,0.4201846
1077,0.6525913,-0.2395193,0.4209964
1078,0.6438123,-0.2384195,0.4213364
1079,0.6360534,-0.2377145,0.4219574
1080,0.6268946,-0.2371152,0.4223687
1081,0.6179025,-0.2368144,0.4225905
1082,0.609198,-0.2362635,0.4230043
1083,0.5988858,-0.2361246,0.4231957
1084,0.5891439,-0.2357342,0.4234994
1085,0.578364,-0.2352253,0.4237994
1086,0.5672727,-0.2341533,0.4241587
1087,0.5564234,-0.2332876,0.4245546
1088,0.5450672,-0.2321784,0.4252888
1089,0.5341151,-0.2313089,0.4259151
1090,0.5232079,-0.2316196,0.4264079
1091,0.512023,-0.2316786,0.4268237
1092,0.5004175,-0.2310114,0.4273782
1093,0.4886582,-0.2305876,0.4280552
1094,0.4768647,-0.2305775,0.4287721
1095,0.4651552,-0.2304164,0.4295199
1096,0.4530143,-0.2303231,0.430259
1097,0.4410788,-0.2301466,0.430986
1098,0.4266053,-0.2298228,0.4316397
1099,0.414129,-0.2293796,0.4322844
1100,0.4007154,-0.2290821,0.432906
1101,0.387921,-0.2289061,0.4335535
1102,0.3627546,-0.2293365,0.4348411
1103,0.3503458,-0.2295067,0.4353626
1104,0.3379027,-0.2295077,0.435887
1105,0.3125318,-0.2294516,0.4370368
1106,0.287342,-0.2291544,0.438242
1107,0.2753892,-0.2291284,0.4388186
1108,0.2631899,-0.2290232,0.439294
1109,0.2513766,-0.2293393,0.4394915
1110,0.23975,-0.2294188,0.4395818
1111,0.2278748,-0.2294099,0.4399041
1112,0.2160804,-0.2295672,0.440269
1113,0.2045379,-0.2295622,0.4405964
1114,0.1930959,-0.2297141,0.4407108
1115,0.1819895,-0.2297461,0.4407368
1116,0.1710464,-0.2303126,0.440807
1117,0.1609117,-0.2306892,0.440836
1118,0.1502424,-0.2310255,0.4409437
1119,0.1406242,-0.231409,0.4411665
1120,0.1305685,-0.2319294,0.4412171
1121,0.1212715,-0.231986,0.441229
1122,0.1115671,-0.2323312,0.4413479
1123,0.1028636,-0.2323884,0.4416797
1124,0.09379366,-0.2323943,0.4418639
1125,0.08470036,-0.2324245,0.4420281
1126,0.07652533,-0.2323458,0.4423125
1127,0.06810918,-0.232425,0.442552
1128,0.05966459,-0.2324379,0.442854
1129,0.05285846,-0.2326089,0.4433228
1130,0.04494044,-0.2326888,0.4436337
1131,0.03858522,-0.2332278,0.4437615
1132,0.03172103,-0.2335179,0.4440579
1133,0.02482312,-0.2338312,0.4442869
1134,0.02001071,-0.2339663,0.444443
1135,0.01484297,-0.2341531,0.4445568
1136,0.009837989,-0.2344798,0.4445927
1137,0.005185732,-0.2346166,0.4445768
1138,0.0008664207,-0.2346128,0.4446141
1139,-0.003291863,-0.2346254,0.4446131
