frame,x,y,z
13001,0.5682521,-0.2190133,0.4317366
13002,0.552972,-0.2198547,0.432692
13003,0.539009,-0.2193885,0.433576
13004,0.5246539,-0.219754,0.4343689
13005,0.5109538,-0.219712,0.4351259
13006,0.4970349,-0.2195365,0.4358772
13007,0.4828414,-0.2193848,0.4366834
13008,0.4682565,-0.2195772,0.4375405
13009,0.4547471,-0.2195446,0.4381666
13010,0.441321,-0.2193084,0.4388213
13011,0.4282293,-0.2193087,0.4393879
13012,0.4150533,-0.219177,0.4398886
13013,0.3887846,-0.2192083,0.4411154
13014,0.3759415,-0.2192156,0.4415675
13015,0.363814,-0.2192715,0.4420637
13016,0.3517677,-0.2189421,0.4429009
13017,0.33944,-0.2189064,0.4435684
13018,0.3272995,-0.2186864,0.4444386
13019,0.3154582,-0.2185858,0.4451136
13020,0.3035145,-0.2184396,0.4458853
13021,0.2934822,-0.219842,0.4465423
13022,0.2823291,-0.2202518,0.447286
13023,0.2719728,-0.2206428,0.4479971
13024,0.2616464,-0.2206676,0.4488629
13025,0.2514925,-0.2207934,0.4497324
13026,0.241601,-0.2212702,0.4506204
13027,0.2325841,-0.2218482,0.451568
13028,0.2237388,-0.2222403,0.4525497
13029,0.2149039,-0.2225922,0.4534729
13030,0.2069048,-0.2230706,0.4544004
13031,0.1994544,-0.2233962,0.4554907
13032,0.191475,-0.2237696,0.4564289
13033,0.1850879,-0.2235821,0.4571884
13034,0.1780999,-0.2238773,0.4579772
13035,0.1709647,-0.2240772,0.4588376
13036,0.1661048,-0.2244867,0.4593341
13037,0.1612451,-0.2250397,0.4598565
13038,0.1515553,-0.2256631,0.4611031
13039,0.1467384,-0.2260241,0.4616952
13040,0.1446376,-0.2260807,0.4620732
13041,0.1419004,-0.2263142,0.4625988
13042,0.1387593,-0.2266231,0.4630884
13043,0.1393751,-0.2265576,0.4630159
13044,0.1390605,-0.2265226,0.463197
13045,0.1392415,-0.2265638,0.4633345
13046,0.1412036,-0.2271286,0.4631912
13047,0.1430513,-0.2275113,0.4629959
13048,0.1481142,-0.2282611,0.4622759
13049,0.1508888,-0.228772,0.4619271
13050,0.1596365,-0.2279718,0.4610157
13051,0.1651362,-0.2277596,0.460436
13052,0.1749934,-0.2255627,0.4592314
13053,0.1906346,-0.2239033,0.4574523
13054,0.2046738,-0.2239107,0.4558029
13055,0.2288832,-0.2228483,0.4531264
13056,0.2430314,-0.2225047,0.4517221
13057,0.2579271,-0.2220337,0.4503897
13058,0.2739567,-0.2219412,0.4492221
13059,0.2898384,-0.2217555,0.4479465
13060,0.3105101,-0.2208771,0.4464604
13061,0.3472578,-0.2200516,0.4438716
13062,0.3693659,-0.2184255,0.4426926
13063,0.391098,-0.2164218,0.4411914
13064,0.4119963,-0.2151426,0.4398529
13065,0.4325231,-0.2126622,0.4388878
13066,0.4511759,-0.2109153,0.4383441
13067,0.4701513,-0.2090901,0.4376773
13068,0.4899395,-0.2071141,0.4370274
13069,0.5103396,-0.205512,0.4360127
13070,0.5310037,-0.2046426,0.434803
13071,0.5513902,-0.2032321,0.4338428
13072,0.5749083,-0.2042892,0.4312188
13073,0.5971513,-0.2021673,0.4294651
13074,0.6192773,-0.2010944,0.4277971
13075,0.639325,-0.1946931,0.4272929
13076,0.6608956,-0.1921619,0.4258054
13077,0.6836048,-0.1926713,0.4224929
13078,0.7053518,-0.1924386,0.4202529
13079,0.726936,-0.1937902,0.4185281
13080,0.7486297,-0.1938487,0.4165654
13081,0.7694569,-0.196358,0.4153567
13082,0.7894752,-0.1981491,0.4138261
13083,0.8100433,-0.1998554,0.4123898
13084,0.8305684,-0.2017169,0.4108299
13085,0.844713,-0.2066079,0.4099674
13086,0.862443,-0.2097398,0.4087916
13087,0.8805395,-0.212847,0.4076011
13088,0.8914871,-0.2177862,0.4058858
13089,0.9066288,-0.2218413,0.404567
13090,0.9163127,-0.227072,0.4036194
13091,0.927427,-0.2312131,0.4023161
13092,0.9352303,-0.2354144,0.4004778
13093,0.9436823,-0.2404959,0.3989881
13094,0.9526165,-0.2455328,0.3976594
13095,0.9553732,-0.2499965,0.3970339
13096,0.9604754,-0.2541718,0.3961398
13097,0.9607515,-0.257175,0.3958853
13098,0.9602122,-0.2596339,0.3954458
13099,0.9593223,-0.2635208,0.3948744
13100,0.9589496,-0.2669941,0.3945742
13101,0.9572079,-0.2696775,0.3945723
13102,0.9535391,-0.2705069,0.3946566
13103,0.9503994,-0.272216,0.3947502
13104,0.9467906,-0.2738755,0.3947029
13105,0.9377832,-0.2742748,0.3954498
13106,0.9324769,-0.2756245,0.3955775
13107,0.9288802,-0.2786338,0.3958326
13108,0.9242894,-0.2806309,0.3961169
13109,0.9193007,-0.2825829,0.3962642
13110,0.9117621,-0.2832499,0.3970626
13111,0.9056646,-0.2847878,0.3974527
13112,0.8975387,-0.2838942,0.3985525
13113,0.8908714,-0.2843898,0.3993069
13114,0.8850497,-0.2848703,0.3999515
13115,0.8782945,-0.284315,0.4006234
13116,0.8707865,-0.28329,0.4013945
13117,0.8632935,-0.2819765,0.4021917
13118,0.8546332,-0.2790534,0.4027395
13119,0.8454909,-0.2772962,0.4034112
13120,0.836478,-0.2758149,0.4040574
13121,0.8271239,-0.2747743,0.4047362
13122,0.8177573,-0.2731625,0.405591
13123,0.8082329,-0.2718927,0.406355
13124,0.7979291,-0.2697953,0.4078485
13125,0.7879646,-0.2682646,0.4089315
