frame,x,y,z
20001,0.01383932,0.4790458,-0.3056985
20002,0.01328906,0.477102,-0.3071846
20003,0.01497151,0.4797614,-0.3093812
20004,0.01507181,0.4792022,-0.3111803
20005,0.01155725,0.4872883,-0.3108009
20006,0.008125592,0.5123803,-0.3064269
20007,0.006114002,0.5214858,-0.3060644
20008,0.00252543,0.5268138,-0.3096066
20009,1.849607e-05,0.5340117,-0.3096862
20010,-0.001519211,0.542706,-0.3095233
20011,-0.003480316,0.5507284,-0.308949
20012,-0.005604356,0.5589609,-0.3085355
20013,-0.005996808,0.5602448,-0.3066746
20014,-0.006883588,0.5615965,-0.3058212
20015,-0.008119687,0.5644646,-0.3051364
20016,-0.008345518,0.5527953,-0.3062563
20017,-0.009148587,0.5497375,-0.306158
20018,-0.00851,0.5372875,-0.3067634
20019,-0.00839055,0.529399,-0.3068688
20020,-0.008257493,0.5213989,-0.3069085
20021,-0.007103118,0.5073145,-0.3057131
20022,-0.005716756,0.4942957,-0.3083474
20023,-0.00386157,0.4817232,-0.3116435
20024,-0.002434644,0.4719929,-0.3134341
20025,-0.001559626,0.4890448,-0.3091434
20026,-0.001253206,0.4872367,-0.3043508
20027,4.767627e-05,0.4820141,-0.3032309
20028,0.0009267926,0.4832762,-0.3066762
20029,0.001476526,0.4848575,-0.3076012
20030,0.003749792,0.4851077,-0.3064048
20031,0.005695644,0.4916424,-0.3052056
20032,0.007797509,0.5048141,-0.299131
20033,0.009164289,0.515174,-0.2949051
20034,0.01063677,0.5234969,-0.2919882
20035,0.01361907,0.5332591,-0.2907951
20036,0.01529651,0.5403932,-0.2886962
20037,0.01523691,0.5445433,-0.2869676
20038,0.01729584,0.5566837,-0.2829964
20039,0.01618422,0.5471162,-0.2837219
20040,0.01627402,0.5419641,-0.2840393
20041,0.01673566,0.5353726,-0.284465
20042,0.01712245,0.5289868,-0.2847969
20043,0.01781,0.5190498,-0.2852509
20044,0.01716597,0.5064652,-0.2852154
20045,0.01676304,0.4940526,-0.2871284
20046,0.0167953,0.4808303,-0.2916891
20047,0.01672221,0.4680376,-0.2946653
20048,0.01760474,0.4790644,-0.2957925
20049,0.01777779,0.4780484,-0.2944876
20050,0.0180329,0.4757304,-0.2941024
20051,0.01184158,0.4726011,-0.2946183
20052,0.01021324,0.4712027,-0.295638
20053,0.01240224,0.4718127,-0.3020281
20054,0.01283373,0.4732596,-0.3044476
20055,0.01276026,0.4742982,-0.3069674
20056,0.009118081,0.4974569,-0.3030544
20057,0.007767535,0.506801,-0.3033836
20058,0.005745648,0.5155637,-0.3045551
20059,0.004300776,0.5252532,-0.3055909
20060,0.003405143,0.5317175,-0.3054153
20061,0.0021259,0.5405829,-0.3056656
20062,0.0007445812,0.5493919,-0.3057415
20063,-0.001961071,0.5553628,-0.3023328
20064,-0.003757965,0.5632179,-0.3012225
20065,-0.006089889,0.5629326,-0.300639
20066,-0.008339743,0.5600382,-0.3011221
20067,-0.01059725,0.5609637,-0.3006327
20068,-0.0126601,0.5466716,-0.3027122
20069,-0.01479751,0.5410652,-0.3031411
20070,-0.01691167,0.5352641,-0.3036437
20071,-0.01728299,0.5211573,-0.3024479
20072,-0.01884663,0.5117399,-0.3025077
20073,-0.01861423,0.4955877,-0.3075438
20074,-0.01882844,0.4811798,-0.3112577
20075,-0.0174272,0.4771962,-0.3166628
20076,-0.0188086,0.4801505,-0.3112672
20077,-0.01706156,0.4758986,-0.3079986
20078,-0.01671002,0.4741488,-0.3076254
20079,-0.01730669,0.4747299,-0.3167281
20080,-0.01695147,0.4733278,-0.3178573
20081,-0.01633791,0.4725761,-0.3190204
20082,-0.01279792,0.4876013,-0.3141471
20083,-0.01124699,0.4956169,-0.3124278
20084,-0.009831779,0.5021724,-0.3112234
20085,-0.00795763,0.5169989,-0.3070809
20086,-0.006542156,0.5229357,-0.3060638
20087,-0.00448586,0.530733,-0.304413
20088,-0.002731823,0.5391006,-0.3023046
20089,-0.0008986965,0.5472161,-0.3003731
20090,-0.001404926,0.5507992,-0.2962612
20091,-0.000426095,0.5566337,-0.2938128
20092,0.0002280027,0.5605833,-0.2916265
20093,-0.001660813,0.5443692,-0.2948374
20094,-0.00181124,0.5422952,-0.2942613
20095,-0.00174294,0.5294494,-0.2973182
20096,-0.001378238,0.5227361,-0.2983904
20097,-0.001153518,0.5114853,-0.2970298
20098,-0.0009471513,0.5023274,-0.2973278
20099,-0.001707576,0.4891906,-0.30039
20100,-0.001765247,0.4769387,-0.3050605
20101,-0.001680151,0.4654971,-0.3082204
20102,-0.0003647394,0.4765712,-0.3068572
20103,-0.001312979,0.4755115,-0.3019366
20104,-0.005211629,0.4737374,-0.3013574
20105,-0.005961978,0.4731753,-0.3092495
20106,-0.007359643,0.4724838,-0.3113935
20107,-0.002478547,0.4747417,-0.3125329
20108,-0.00200785,0.4768497,-0.3139386
20109,-0.003892248,0.4871256,-0.3145859
20110,-0.006727476,0.4989998,-0.3136764
20111,-0.007881448,0.5068992,-0.3142183
20112,-0.009134915,0.5150492,-0.3136677
20113,-0.01024131,0.5216051,-0.3126077
20114,-0.01265844,0.5375654,-0.3107648
20115,-0.01439727,0.5445287,-0.3086072
20116,-0.01582203,0.5519983,-0.3069431
20117,-0.01661374,0.5517915,-0.3053031
20118,-0.01772268,0.5519933,-0.3046352
20119,-0.01897262,0.5532755,-0.3036509
20120,-0.02015045,0.5393385,-0.3064471
20121,-0.0214098,0.5347587,-0.3068103
20122,-0.02297711,0.527432,-0.3074086
20123,-0.02418355,0.5210606,-0.307579
20124,-0.02570328,0.5083131,-0.3068722
20125,-0.02653799,0.4967244,-0.3087311
20126,-0.02605834,0.4828093,-0.3136796
20127,-0.02479602,0.4757833,-0.3187321
20128,-0.02422966,0.4736649,-0.3217913
20129,-0.02390443,0.4710551,-0.324581
20130,-0.02669121,0.4832231,-0.3085228
20131,-0.02656954,0.4816655,-0.3065189
20132,-0.0274259,0.4821828,-0.3166676
20133,-0.02825446,0.4830694,-0.3179497
20134,-0.02653608,0.4864683,-0.318115
20135,-0.0254615,0.4977229,-0.316239
20136,-0.02508715,0.5042095,-0.3157712
20137,-0.02420342,0.5179435,-0.3114865
20138,-0.02399308,0.5260564,-0.3104452
20139,-0.02407331,0.5337412,-0.3095235
20140,-0.02364054,0.542737,-0.3078645
20141,-0.02280529,0.5518374,-0.3048458
20142,-0.02207608,0.5563436,-0.3027784
20143,-0.02143506,0.562272,-0.3008384
20144,-0.02164257,0.5581626,-0.3019863
20145,-0.02109985,0.5562394,-0.3029183
20146,-0.02072426,0.5558826,-0.3029991
