frame,x,y,z
7001,0.01353085,0.5208046,-0.3522739
7002,0.01241353,0.5178283,-0.3517272
7003,0.0111318,0.5146834,-0.3511313
7004,0.009360194,0.512243,-0.3501305
7005,0.00787371,0.5095073,-0.3494026
7006,0.005728136,0.5089017,-0.34758
7007,0.003766891,0.5073295,-0.3462527
7008,0.001867902,0.5055823,-0.3449573
7009,-0.0002512746,0.5031638,-0.3444184
7010,-0.002167531,0.5016086,-0.3435819
7011,-0.003506794,0.5041418,-0.3433418
7012,-0.005323085,0.5054439,-0.3416416
7013,-0.006528974,0.5054203,-0.3412838
7014,-0.00733665,0.5103505,-0.3410828
7015,-0.008400816,0.5136431,-0.3391791
7016,-0.009491738,0.5157006,-0.3378958
7017,-0.01019674,0.5181509,-0.336925
7018,-0.01034414,0.5199582,-0.3376348
7019,-0.009998649,0.5212249,-0.3376743
7020,-0.00951213,0.5232522,-0.3382768
7021,-0.00878448,0.526382,-0.3383459
7022,-0.00861366,0.5293642,-0.3385316
7023,-0.008585285,0.5328213,-0.3380432
7024,-0.00852541,0.5360047,-0.3382578
7025,-0.007922076,0.5387332,-0.3389081
7026,-0.007203165,0.5409133,-0.339964
7027,-0.006677999,0.54362,-0.3405918
7028,-0.006191649,0.5444357,-0.3415528
7029,-0.00553716,0.5458308,-0.3424222
7030,-0.004918524,0.545818,-0.3433735
7031,-0.004206892,0.5456358,-0.3441266
7032,-0.003607564,0.5460126,-0.3448503
7033,-0.003158778,0.5441418,-0.3452838
7034,-0.002706651,0.5432699,-0.3458861
7035,-0.002201079,0.5422088,-0.3464735
7036,-0.002254465,0.5386144,-0.3467598
7037,-0.001935825,0.5366505,-0.3471848
7038,-0.001937926,0.5345348,-0.3467406
7039,-0.001733351,0.5321851,-0.3463207
7040,-0.001500256,0.529741,-0.3458397
7041,-0.001241434,0.5273145,-0.3453615
7042,-0.00103379,0.5248392,-0.344912
7043,-0.0002109669,0.5217571,-0.3443331
7044,0.000524722,0.5190942,-0.3440999
7045,0.001325995,0.5166881,-0.3438396
7046,0.002148826,0.5141464,-0.3434646
7047,0.003073033,0.5128296,-0.3427833
7048,0.003994815,0.5113537,-0.3420055
7049,0.005245823,0.5110167,-0.340713
7050,0.006437089,0.5102103,-0.3395824
7051,0.007587329,0.5093151,-0.3386164
7052,0.00886326,0.508607,-0.3377826
7053,0.01052734,0.5087725,-0.3371501
7054,0.01203734,0.5096244,-0.3362254
7055,0.01347042,0.5125144,-0.3352453
7056,0.01453819,0.514723,-0.3333483
7057,0.01545773,0.5173022,-0.3323152
7058,0.01647021,0.5201222,-0.3313497
7059,0.01720999,0.5225816,-0.3303584
7060,0.01789324,0.523077,-0.3300757
7061,0.01880177,0.5247732,-0.3296126
7062,0.01958384,0.5256573,-0.3313389
7063,0.02027751,0.5276784,-0.3318006
7064,0.02050626,0.5302745,-0.3320142
7065,0.0205526,0.5333593,-0.3323253
7066,0.02084515,0.5358276,-0.332825
7067,0.02080077,0.5399675,-0.3329037
7068,0.02048756,0.5431103,-0.3331077
7069,0.02032144,0.5463421,-0.3335137
7070,0.02023641,0.5482573,-0.3348249
7071,0.02020933,0.5499072,-0.3357747
7072,0.02001579,0.5511619,-0.3367042
7073,0.01984105,0.5517614,-0.3377465
7074,0.01967363,0.5520428,-0.3384875
7075,0.01947553,0.5523358,-0.3393404
7076,0.01916156,0.5517145,-0.3402296
7077,0.01875871,0.550464,-0.3408423
7078,0.01843822,0.5497094,-0.341577
7079,0.01789597,0.5474764,-0.3419122
7080,0.01743321,0.5456371,-0.3423941
7081,0.016979,0.5439488,-0.3429046
7082,0.01609177,0.5403073,-0.3432793
7083,0.01534846,0.5374593,-0.3435006
7084,0.01436758,0.5346944,-0.3435948
7085,0.01365241,0.5319699,-0.3434894
7086,0.01264907,0.5290776,-0.3434135
7087,0.01159057,0.5259753,-0.3432085
7088,0.0104661,0.5227491,-0.3431441
7089,0.009319075,0.5199032,-0.3431079
7090,0.007935584,0.5173643,-0.3427321
7091,0.006740984,0.5145532,-0.3425522
7092,0.004878059,0.5131564,-0.341552
7093,0.003105454,0.5116214,-0.3405224
7094,0.001290865,0.5098474,-0.3395865
7095,-0.0004332773,0.5077114,-0.3390962
7096,-0.001858164,0.5074537,-0.3388781
7097,-0.003371273,0.5091498,-0.3382405
7098,-0.005146299,0.5098357,-0.3371264
7099,-0.006903774,0.508799,-0.336182
7100,-0.007646035,0.5128286,-0.3369585
7101,-0.008512899,0.5169849,-0.3357202
7102,-0.009261243,0.5199394,-0.3351744
7103,-0.0100962,0.5229537,-0.3347474
7104,-0.009803175,0.5247769,-0.3353844
7105,-0.009771969,0.5269986,-0.3356125
7106,-0.009169884,0.5288787,-0.3362894
7107,-0.008402638,0.5311024,-0.3369171
7108,-0.007617127,0.5341709,-0.3377374
7109,-0.007365574,0.5368603,-0.3384366
7110,-0.006931939,0.5392895,-0.3391449
7111,-0.006331173,0.5421767,-0.3400913
7112,-0.005550516,0.544685,-0.3408814
7113,-0.004966397,0.5470113,-0.3418552
7114,-0.004649367,0.5484709,-0.3426302
7115,-0.004102043,0.5498361,-0.343524
7116,-0.003477166,0.5510167,-0.3444571
7117,-0.00294967,0.5492924,-0.3455295
7118,-0.002574802,0.548786,-0.3464345
7119,-0.00218767,0.5473362,-0.3473519
7120,-0.00178609,0.5462704,-0.3482706
7121,-0.001569554,0.543947,-0.3487706
7122,-0.001248751,0.5423337,-0.349521
7123,-0.001183003,0.5405383,-0.3492163
7124,-0.001100134,0.5385361,-0.3490357
7125,-0.0009178557,0.5364609,-0.3491631
7126,-0.0009135008,0.5337034,-0.3489299
7127,-0.0007675812,0.5313702,-0.3487671
7128,-0.0006965175,0.5289434,-0.3486159
7129,-0.0003166981,0.526809,-0.347839
7130,-0.0001119301,0.5244486,-0.3474343
7131,0.0005485937,0.5225062,-0.3470425
7132,0.001082957,0.5203509,-0.3465258
7133,0.001848998,0.5186294,-0.3459167
7134,0.00271802,0.5172929,-0.3450861
7135,0.003740463,0.5164285,-0.343867
7136,0.00481841,0.5157292,-0.3427599
7137,0.005819906,0.5147384,-0.3417486
7138,0.007270592,0.5134426,-0.3410404
7139,0.008632731,0.512342,-0.340481
7140,0.01003667,0.5115641,-0.3399504
7141,0.01152609,0.5132843,-0.3393714
7142,0.01276749,0.5161865,-0.3374535
7143,0.01350128,0.5180689,-0.335874
7144,0.01464766,0.5197942,-0.3346075
7145,0.01524538,0.5225779,-0.3342003
7146,0.01612448,0.5238974,-0.3332154
7147,0.01699902,0.5246977,-0.3336093
7148,0.01785138,0.5256892,-0.3349929
7149,0.01866351,0.5270985,-0.3353858
7150,0.01891906,0.5297207,-0.3366124
