frame,x,y,z
4001,-0.04547153,0.4796256,-0.2414479
4002,-0.0457325,0.4827097,-0.2428449
4003,-0.04772371,0.4940341,-0.2408937
4004,-0.04845049,0.5003853,-0.241728
4005,-0.04923356,0.5067489,-0.2422418
4006,-0.04948451,0.5147362,-0.2443548
4007,-0.05025502,0.5221458,-0.2450737
4008,-0.0516936,0.5290004,-0.2444047
4009,-0.05282163,0.5356074,-0.2441719
4010,-0.05438291,0.5400939,-0.2437549
4011,-0.05557471,0.5421008,-0.2442798
4012,-0.05622292,0.542693,-0.2455538
4013,-0.05673423,0.5420752,-0.2472549
4014,-0.0574943,0.5428324,-0.2483725
4015,-0.05741698,0.5363654,-0.250493
4016,-0.0581042,0.5319413,-0.2515453
4017,-0.05861426,0.5279815,-0.2529331
4018,-0.05940872,0.5157281,-0.2539782
4019,-0.05973816,0.5075627,-0.2556742
4020,-0.05866576,0.4950382,-0.2600129
4021,-0.05778573,0.4871423,-0.2631843
4022,-0.05806002,0.4895467,-0.2623998
4023,-0.0583015,0.4833073,-0.2620373
4024,-0.0585348,0.4804183,-0.2605076
4025,-0.05699945,0.4777899,-0.2641883
4026,-0.05644784,0.4748241,-0.2654892
4027,-0.05488708,0.4709496,-0.2706425
4028,-0.05429912,0.4701611,-0.2733623
4029,-0.05428389,0.4797747,-0.2707132
4030,-0.05366801,0.4880161,-0.2705472
4031,-0.05331913,0.4961286,-0.268625
4032,-0.05202097,0.5019271,-0.2693878
4033,-0.05057423,0.5067757,-0.2702568
4034,-0.04929732,0.5124752,-0.2706096
4035,-0.04790828,0.5180585,-0.2702068
4036,-0.04729442,0.5237175,-0.2688124
4037,-0.04618245,0.5295731,-0.2682592
4038,-0.04613634,0.5310124,-0.2676525
4039,-0.04523443,0.5326025,-0.2681743
4040,-0.04437089,0.5356774,-0.2680266
4041,-0.04282117,0.5300866,-0.2710606
4042,-0.04167315,0.529699,-0.2720408
4043,-0.04066797,0.5224367,-0.2728998
4044,-0.03957762,0.518051,-0.2740491
4045,-0.03873003,0.5080615,-0.2761488
4046,-0.03777937,0.4983582,-0.2799454
4047,-0.03582327,0.4853719,-0.2858751
4048,-0.03458651,0.4819098,-0.2876486
4049,-0.03329647,0.4768101,-0.2895606
4050,-0.03481931,0.4787841,-0.2835687
4051,-0.03563525,0.476508,-0.2841102
4052,-0.03495823,0.4731692,-0.2873252
4053,-0.03471905,0.470353,-0.2887739
4054,-0.03314468,0.4704753,-0.2922456
4055,-0.03183632,0.4727738,-0.2942412
4056,-0.03136501,0.4731307,-0.2960317
4057,-0.03329065,0.4841765,-0.2919838
4058,-0.03403583,0.4890853,-0.2913967
4059,-0.03494643,0.4957203,-0.2917202
4060,-0.03583504,0.5017684,-0.2919171
4061,-0.03731418,0.5076504,-0.2929531
4062,-0.03864635,0.5139737,-0.2932257
4063,-0.04046935,0.519862,-0.2930003
4064,-0.04234851,0.5260133,-0.292274
