frame,x,y,z
18001,0.06066364,0.462261,-0.3753351
18002,0.06098028,0.4694778,-0.3768578
18003,0.06058758,0.4727927,-0.37924
18004,0.06059436,0.4776842,-0.3812378
18005,0.06064221,0.4793712,-0.3833018
18006,0.06050854,0.4811459,-0.3852303
18007,0.06041719,0.483808,-0.3871994
18008,0.06015915,0.4801553,-0.388756
18009,0.05989229,0.4790455,-0.3903553
18010,0.05960078,0.4757529,-0.391356
18011,0.0592592,0.4718836,-0.3920131
18012,0.05881627,0.4667055,-0.3922041
18013,0.05823009,0.4606793,-0.3922922
18014,0.05771868,0.4555734,-0.3927701
18015,0.05670173,0.4476547,-0.3921643
18016,0.0554383,0.4403072,-0.3915478
18017,0.05408628,0.4335798,-0.3910031
18018,0.05250937,0.4272906,-0.3901202
18019,0.04939383,0.4156897,-0.3878662
18020,0.04775162,0.4100019,-0.3866995
18021,0.04535658,0.4083856,-0.3838978
18022,0.0431032,0.4055856,-0.3820495
18023,0.04079532,0.4035458,-0.3803214
18024,0.03802114,0.4019592,-0.3791072
18025,0.03576614,0.4000479,-0.3778507
18026,0.0336247,0.4046192,-0.3774615
18027,0.03134881,0.4078851,-0.3760051
18028,0.02900229,0.4101627,-0.3747864
18029,0.02714716,0.4139135,-0.3748288
18030,0.02516001,0.4165745,-0.374681
18031,0.02309669,0.4195772,-0.374393
18032,0.02380531,0.4231835,-0.3774037
18033,0.02293272,0.4273277,-0.3783255
18034,0.02251373,0.4338636,-0.3787691
18035,0.0222098,0.4394666,-0.379521
18036,0.02222845,0.4467147,-0.380205
18037,0.02264986,0.453478,-0.380332
18038,0.02315046,0.4590591,-0.3806469
18039,0.02375337,0.4634955,-0.381155
18040,0.02437787,0.4671993,-0.3815704
18041,0.02516394,0.4695319,-0.3818907
18042,0.0258856,0.4718843,-0.3821455
18043,0.0267258,0.4720919,-0.3823206
18044,0.02733969,0.4715383,-0.3821756
18045,0.02812245,0.4715526,-0.382116
18046,0.02885357,0.4716839,-0.3820577
18047,0.02915201,0.4660502,-0.3806894
18048,0.02975418,0.4637538,-0.3801656
18049,0.02989706,0.4575936,-0.3785039
18050,0.03038067,0.4535682,-0.3774389
18051,0.03090166,0.4478209,-0.3752805
18052,0.03152727,0.4426261,-0.37359
18053,0.03243793,0.4365994,-0.3713261
18054,0.03310485,0.4309364,-0.3693325
18055,0.03417719,0.4262953,-0.366633
18056,0.03490385,0.422101,-0.3638588
18057,0.03573564,0.4176352,-0.361192
18058,0.03689691,0.4156099,-0.3582649
18059,0.03943571,0.4104179,-0.3529419
18060,0.04092207,0.4074618,-0.3506556
18061,0.04226274,0.4048409,-0.3482517
18062,0.04356941,0.4084153,-0.347648
18063,0.0448274,0.4105905,-0.3454967
18064,0.04628503,0.4142593,-0.3434254
18065,0.04783051,0.4160271,-0.3425499
18066,0.04943364,0.4176801,-0.3431258
18067,0.05076902,0.4195668,-0.3440752
18068,0.05174174,0.4248696,-0.3459398
18069,0.05277041,0.4300577,-0.3468108
18070,0.05372601,0.4360043,-0.3479557
18071,0.05477127,0.4412252,-0.3490898
18072,0.05431603,0.4496991,-0.3505989
18073,0.05475771,0.4561212,-0.3519688
18074,0.05444772,0.4605956,-0.3535703
18075,0.05449296,0.4658214,-0.3551829
18076,0.05423144,0.4686121,-0.3569604
18077,0.05403534,0.4700663,-0.3587713
18078,0.05384877,0.4734348,-0.3605375
18079,0.05355953,0.4760994,-0.3623614
18080,0.05315065,0.4710415,-0.3642781
18081,0.05282122,0.4708889,-0.3659116
18082,0.05221066,0.4654367,-0.3667795
18083,0.05170695,0.4626449,-0.3680676
18084,0.05095151,0.4574705,-0.3688174
18085,0.05035079,0.4533396,-0.3698667
18086,0.04904633,0.4469205,-0.3700508
18087,0.04777355,0.4408082,-0.3704898
18088,0.04600533,0.4348151,-0.3707919
18089,0.04310718,0.4227661,-0.3713178
18090,0.04116062,0.4171839,-0.3710149
18091,0.03919791,0.4128644,-0.370436
18092,0.03735975,0.4078559,-0.3700711
18093,0.03496655,0.406355,-0.3686847
18094,0.0327328,0.4029205,-0.3679275
18095,0.02990172,0.4008785,-0.3673768
18096,0.02676878,0.3996595,-0.3667842
18097,0.02416164,0.3988658,-0.3665151
18098,0.02169795,0.4011524,-0.3664302
18099,0.01917223,0.4060168,-0.3655936
18100,0.01695819,0.4086385,-0.3651781
18101,0.01497563,0.4115418,-0.3655955
18102,0.01297474,0.4154646,-0.3666935
18103,0.01197902,0.4177128,-0.3682266
18104,0.01050733,0.4211829,-0.369416
18105,0.01096894,0.4274144,-0.3718884
18106,0.01035601,0.4324959,-0.3732899
18107,0.01049242,0.4386416,-0.3742432
18108,0.01078765,0.4454825,-0.3752953
18109,0.01112429,0.4517272,-0.3760716
18110,0.01174911,0.4569311,-0.3769295
18111,0.01224761,0.4626392,-0.3779098
18112,0.0134811,0.4644341,-0.3789381
18113,0.0155015,0.4693007,-0.3807346
18114,0.01649524,0.4698791,-0.3813678
18115,0.01757748,0.4716405,-0.3821162
18116,0.01849013,0.4685283,-0.3819009
18117,0.0195399,0.4670684,-0.3819159
18118,0.02042845,0.464086,-0.3814412
18119,0.0212018,0.4603405,-0.3807757
18120,0.02201742,0.4564038,-0.3800553
18121,0.02284117,0.4520963,-0.3791038
18122,0.02372906,0.4476809,-0.378084
18123,0.02480441,0.4433454,-0.3771413
18124,0.02609627,0.4377101,-0.3750594
18125,0.02766643,0.4320491,-0.3731003
18126,0.03035626,0.4232343,-0.3693255
18127,0.03181557,0.4197193,-0.3670325
18128,0.0332019,0.4161582,-0.3647457
18129,0.03471119,0.4127511,-0.362485
18130,0.03640233,0.4109427,-0.3604853
18131,0.03799018,0.4084823,-0.3582989
18132,0.03994083,0.4072849,-0.3567801
18133,0.04163843,0.4068144,-0.3551905
