frame,x,y,z
12001,0.01763405,0.4499421,-0.3476933
12002,0.01823293,0.4411618,-0.3473761
12003,0.01908107,0.4316218,-0.3475928
12004,0.01996086,0.4226502,-0.3478479
12005,0.02103278,0.4118683,-0.3495366
12006,0.02182822,0.4024203,-0.3502187
12007,0.0219057,0.3948912,-0.3501585
12008,0.02183507,0.3876854,-0.350125
12009,0.02226452,0.3813821,-0.3508245
12010,0.02242299,0.3773448,-0.3523055
12011,0.02255834,0.373147,-0.3533393
12012,0.02233206,0.3736036,-0.3542284
12013,0.02231506,0.3785066,-0.3550889
12014,0.0220851,0.3800814,-0.3559588
12015,0.02068124,0.3910125,-0.356518
12016,0.01980601,0.3979712,-0.3572974
12017,0.01802544,0.4099106,-0.3574062
12018,0.01642912,0.4204459,-0.3576949
12019,0.01429357,0.4320329,-0.3574162
12020,0.01226771,0.4424035,-0.3572211
12021,0.01026797,0.4503198,-0.3573232
12022,0.006334006,0.4687583,-0.3575319
12023,0.004977301,0.4701281,-0.3582622
12024,0.002028677,0.4757843,-0.3597307
12025,0.0007844418,0.4741355,-0.3610547
12026,-0.0003696531,0.4720936,-0.3622848
12027,-0.001556496,0.4708948,-0.3635162
12028,-0.002564155,0.4621322,-0.3639514
12029,-0.003646743,0.45715,-0.3649055
12030,-0.003918587,0.443377,-0.3652611
12031,-0.004203704,0.4333677,-0.3664651
12032,-0.003653106,0.4218901,-0.368623
12033,-0.003526825,0.4123943,-0.3696761
12034,-0.003589787,0.4094951,-0.3703147
12035,-0.004225366,0.4031693,-0.3699596
12036,-0.004382129,0.3956147,-0.3700746
12037,-0.003907122,0.3911996,-0.3726684
12038,-0.003298935,0.3880469,-0.373361
12039,-0.001334157,0.3898645,-0.3728021
12040,-0.000349883,0.394453,-0.3726315
12041,0.0005425401,0.3964475,-0.372442
12042,0.0008332916,0.4081141,-0.3708936
12043,0.001745856,0.4150878,-0.3698784
12044,0.003026079,0.4246843,-0.3683659
12045,0.004424657,0.4347731,-0.3671819
12046,0.006180193,0.44401,-0.3660436
12047,0.008066684,0.4526302,-0.3646633
12048,0.009702545,0.4617548,-0.3632678
12049,0.01111146,0.4671296,-0.3616732
12050,0.01218507,0.4724339,-0.3601864
12051,0.01361891,0.4794977,-0.3586947
12052,0.01368809,0.4744458,-0.3588972
12053,0.01453383,0.4745353,-0.3584763
12054,0.01543734,0.4755532,-0.357802
12055,0.01532409,0.4661604,-0.3584027
12056,0.01549124,0.459673,-0.3577406
12057,0.0154372,0.45108,-0.3569255
12058,0.01537908,0.4421284,-0.3565773
12059,0.01534316,0.4296445,-0.3570716
12060,0.01508038,0.4170138,-0.3585486
12061,0.01490647,0.4076318,-0.3599693
12062,0.0142391,0.4037995,-0.3607862
12063,0.01380553,0.3953708,-0.3617101
12064,0.0116334,0.393661,-0.3588226
12065,0.01085442,0.3885424,-0.3585804
12066,0.00920445,0.3912576,-0.3587891
12067,0.007677012,0.3920207,-0.358925
12068,0.006227728,0.3976748,-0.3589681
12069,0.004226524,0.4038121,-0.3584032
12070,0.002404929,0.4091525,-0.3581602
12071,-0.0008500181,0.4206833,-0.3575613
12072,-0.003318045,0.4295849,-0.3571969
12073,-0.005945884,0.4404466,-0.3566964
12074,-0.008399144,0.4496144,-0.3557835
12075,-0.01104448,0.4596801,-0.3551337
12076,-0.01309796,0.4666898,-0.3540832
12077,-0.01529628,0.4743623,-0.3532127
12078,-0.01720962,0.4776049,-0.3523725
12079,-0.019339,0.4828968,-0.3515132
12080,-0.02073391,0.4808601,-0.351211
12081,-0.02207116,0.4782695,-0.3514012
12082,-0.02352554,0.4771413,-0.3513947
12083,-0.02379638,0.4704103,-0.3523604
12084,-0.02458001,0.4662178,-0.3524981
12085,-0.02545021,0.4583864,-0.3512142
12086,-0.02609428,0.446955,-0.3508312
12087,-0.02608534,0.4240794,-0.3532329
12088,-0.0260178,0.414247,-0.3543549
12089,-0.02601318,0.4036038,-0.3552088
12090,-0.0260296,0.4040453,-0.3537943
12091,-0.02637635,0.3992609,-0.3521602
12092,-0.02672999,0.3959444,-0.3522259
12093,-0.02662723,0.3937846,-0.3512683
12094,-0.02559413,0.3952642,-0.3500617
12095,-0.02473774,0.3966243,-0.3492905
12096,-0.02400187,0.3978346,-0.348444
12097,-0.02335041,0.4107471,-0.346829
12098,-0.0226847,0.4165713,-0.3456845
12099,-0.02171683,0.4264038,-0.3439642
12100,-0.02043531,0.4362129,-0.3422903
12101,-0.01940995,0.4455439,-0.3407464
12102,-0.01801783,0.4537636,-0.3393078
12103,-0.01676833,0.4626684,-0.3377956
12104,-0.01536641,0.4671199,-0.3361832
12105,-0.01424847,0.4719826,-0.3349432
12106,-0.01274489,0.4735317,-0.3338068
12107,-0.01218096,0.4712392,-0.3338225
12108,-0.0117721,0.4678138,-0.3337993
12109,-0.01155826,0.4621814,-0.3338774
12110,-0.01124882,0.4548071,-0.3333198
12111,-0.01121878,0.4461333,-0.3327419
12112,-0.0114509,0.4348761,-0.3333906
12113,-0.01196312,0.4218483,-0.3347123
12114,-0.01240066,0.4101606,-0.3357436
12115,-0.01278112,0.4023604,-0.3371756
12116,-0.0131188,0.3963665,-0.337994
12117,-0.01401842,0.3921529,-0.3364975
12118,-0.01506224,0.3883338,-0.3355349
12119,-0.01600667,0.3829402,-0.3354211
12120,-0.0168955,0.3838438,-0.3385398
12121,-0.01793475,0.3846416,-0.3397045
12122,-0.01895209,0.384813,-0.340774
12123,-0.01963979,0.3956664,-0.341909
12124,-0.0209707,0.4007663,-0.3430299
12125,-0.02344475,0.4123365,-0.3437535
12126,-0.02520507,0.4212147,-0.3445569
12127,-0.02688964,0.4334414,-0.3446741
12128,-0.02886425,0.4434774,-0.3451913
12129,-0.03070797,0.4540257,-0.3457514
12130,-0.03277151,0.4617008,-0.3456934
12131,-0.03448462,0.4696688,-0.3457728
12132,-0.0355866,0.4745857,-0.3457458
12133,-0.03647457,0.4770076,-0.3455172
