frame,x,y,z
10001,0.05888607,0.4217362,-0.3339453
10002,0.05452411,0.4348998,-0.333607
10003,0.05062261,0.4415191,-0.3333876
10004,0.04662677,0.4482712,-0.3331917
10005,0.04188781,0.462455,-0.3325799
10006,0.03760879,0.472123,-0.3321198
10007,0.03348658,0.4784914,-0.3316294
10008,0.02944214,0.4857257,-0.3313379
10009,0.02747355,0.4806668,-0.3323234
10010,0.02122796,0.4849707,-0.3328679
10011,0.02062875,0.4746377,-0.3354078
10012,0.01953112,0.4714388,-0.3364333
10013,0.01761367,0.4669344,-0.3355576
10014,0.01620169,0.4615417,-0.3356581
10015,0.01482458,0.4563035,-0.3359032
10016,0.01728248,0.4364374,-0.3373848
10017,0.01748454,0.4258346,-0.3381923
10018,0.02109859,0.4193298,-0.3401669
10019,0.02273483,0.4129394,-0.3412076
10020,0.02149607,0.4187694,-0.3386246
10021,0.02217816,0.4131938,-0.3372172
10022,0.02357936,0.4174455,-0.3390976
10023,0.02488185,0.4177466,-0.3386499
10024,0.02781752,0.4241358,-0.3374654
10025,0.02958037,0.4295956,-0.3363039
10026,0.03086611,0.440486,-0.3332718
10027,0.03247602,0.4499662,-0.331342
10028,0.03392691,0.4585611,-0.3295097
10029,0.03488103,0.4661478,-0.3282795
10030,0.03611625,0.4736302,-0.3266726
10031,0.03730398,0.477992,-0.3251845
10032,0.03865073,0.4794888,-0.324265
10033,0.039944,0.483129,-0.3231836
10034,0.04190061,0.4778596,-0.322857
10035,0.04373305,0.4762753,-0.3222758
10036,0.04538225,0.4731702,-0.3215412
10037,0.0461625,0.4688515,-0.3204009
10038,0.04732184,0.4647744,-0.3195048
10039,0.0476964,0.4517825,-0.3204919
10040,0.04816275,0.4395305,-0.3219251
10041,0.04837169,0.4279186,-0.3241717
10042,0.04856879,0.4172986,-0.3262435
10043,0.04865965,0.4064756,-0.3280808
10044,0.04574743,0.4179354,-0.325564
10045,0.04455002,0.4144454,-0.3250383
10046,0.04342952,0.4106782,-0.3247069
10047,0.04066137,0.4090685,-0.325821
10048,0.03872012,0.4079053,-0.3262774
10049,0.03660876,0.4125824,-0.3256767
10050,0.03429726,0.4175105,-0.3254196
10051,0.03143693,0.4262497,-0.3243335
10052,0.02765525,0.4362033,-0.3233766
10053,0.02294847,0.4462346,-0.3223718
10054,0.014809,0.4639985,-0.3207036
10055,0.01068265,0.4733863,-0.319801
10056,0.007414922,0.4755227,-0.3193823
10057,0.005319275,0.4743546,-0.3194821
10058,0.0001805201,0.4741232,-0.3195484
10059,-0.001596878,0.4708652,-0.3203242
10060,-0.003364085,0.4683797,-0.3206193
10061,-0.005423721,0.4637144,-0.3192776
10062,-0.006189697,0.4564086,-0.3192401
10063,-0.007238496,0.4502677,-0.3191467
10064,-0.004371796,0.4336463,-0.3198908
10065,-0.002236564,0.4236774,-0.3208861
10066,-0.0009296313,0.4130502,-0.3214481
10067,0.00692495,0.4129044,-0.3223035
10068,0.006955937,0.4125434,-0.3175986
10069,0.01113943,0.4070782,-0.3156925
10070,0.01562429,0.4145329,-0.3178212
10071,0.01875088,0.4155937,-0.3168801
10072,0.02463296,0.4294342,-0.315486
10073,0.03220275,0.4424218,-0.3134984
10074,0.03410696,0.4559263,-0.3110865
10075,0.03739864,0.4648291,-0.3094694
10076,0.04098213,0.4715167,-0.3074047
10077,0.04405437,0.4791767,-0.3051293
10078,0.04710727,0.4870689,-0.3029308
10079,0.0498441,0.4847322,-0.3021569
10080,0.05283288,0.488938,-0.3004842
10081,0.05559473,0.4793948,-0.3005694
10082,0.05842006,0.4768504,-0.3002704
10083,0.06125384,0.4751969,-0.2995463
10084,0.06179947,0.4680698,-0.2980515
10085,0.06277418,0.4588694,-0.2975491
10086,0.06339531,0.4471223,-0.2985092
10087,0.06448846,0.4368994,-0.2991486
10088,0.06467543,0.4236349,-0.3033971
10089,0.06517454,0.4128934,-0.3059746
10090,0.06480212,0.4146029,-0.308394
10091,0.06294309,0.4194344,-0.3063921
10092,0.06223767,0.417027,-0.3071187
10093,0.05980438,0.4164721,-0.3044793
10094,0.05905574,0.418205,-0.3078918
10095,0.05783322,0.4185654,-0.3089216
10096,0.05574223,0.4247275,-0.3113282
10097,0.05409326,0.4282126,-0.3127834
10098,0.05041967,0.4400395,-0.3137334
10099,0.04766319,0.4488322,-0.3149195
10100,0.04030763,0.4681544,-0.3159471
10101,0.03694703,0.4775592,-0.3167607
10102,0.03350421,0.4822353,-0.3176354
10103,0.03006165,0.4889507,-0.318417
10104,0.02747038,0.4862929,-0.3200079
10105,0.02545703,0.4830486,-0.3218982
10106,0.0227757,0.48366,-0.3233242
10107,0.02221368,0.4748782,-0.3261215
10108,0.02029279,0.4720778,-0.3279272
10109,0.01846464,0.4690973,-0.3297631
10110,0.01629511,0.4615345,-0.3274917
10111,0.01589631,0.448721,-0.3277678
10112,0.01675077,0.4368982,-0.3299098
10113,0.01717747,0.426394,-0.3316592
10114,0.01760523,0.4158345,-0.3334453
10115,0.02011996,0.4259524,-0.3354801
10116,0.02087919,0.4231283,-0.3369802
10117,0.01935252,0.4228899,-0.3351623
10118,0.02001585,0.4234159,-0.3345645
10119,0.0204985,0.4240258,-0.3349704
10120,0.02429387,0.4278659,-0.3346272
10121,0.02593338,0.4303674,-0.3344392
10122,0.026638,0.4403758,-0.3339474
10123,0.02767564,0.4465674,-0.3333355
10124,0.02770689,0.458474,-0.330943
10125,0.02998503,0.4741659,-0.328092
10126,0.03124909,0.4795404,-0.3266698
10127,0.03229505,0.486206,-0.325192
10128,0.03360878,0.4851622,-0.3241665
10129,0.03511715,0.485752,-0.3230236
10130,0.03635991,0.4877319,-0.3218687
10131,0.03861531,0.4803138,-0.3229948
10132,0.04012466,0.4774032,-0.3230154
10133,0.0413966,0.4720266,-0.3223289
10134,0.04254762,0.4644556,-0.3219053
10135,0.04354826,0.4524255,-0.322437
10136,0.04449096,0.4404408,-0.3245273
10137,0.04539417,0.4296035,-0.326267
10138,0.04500579,0.425042,-0.3279439
10139,0.04483499,0.4220385,-0.3287797
10140,0.04439897,0.417102,-0.3276705
10141,0.04403765,0.4138906,-0.3280594
10142,0.04162703,0.420083,-0.3302056
10143,0.03871113,0.4223862,-0.3318291
10144,0.03406421,0.4358818,-0.3322311
10145,0.03102461,0.4429668,-0.3328777
10146,0.02619246,0.4531514,-0.3337109
10147,0.01907931,0.4688153,-0.335087
10148,0.01626569,0.4740216,-0.3356771
10149,0.01293703,0.4807211,-0.336284
10150,0.01147758,0.4775627,-0.3368735
10151,0.00621039,0.4820676,-0.3383214
10152,0.005030303,0.4764518,-0.3391953
10153,0.003032404,0.4751669,-0.3398749
10154,0.001829683,0.4703551,-0.3386328
10155,0.0004081726,0.4664904,-0.3384903
10156,0.00101022,0.4540204,-0.338315
10157,0.002310066,0.4414051,-0.3384468
10158,0.003199957,0.4305904,-0.3385401
10159,0.00380896,0.4201074,-0.3384939
10160,0.00882268,0.4184355,-0.3391493
10161,0.01088144,0.4217806,-0.3372537
10162,0.01235327,0.4186157,-0.3351306
10163,0.01418067,0.4150132,-0.3339702
10164,0.01671507,0.4161361,-0.3358744
10165,0.01996251,0.4161199,-0.335308
10166,0.0239884,0.4202784,-0.3331354
10167,0.02752166,0.4299288,-0.3315244
10168,0.02987706,0.4385945,-0.3297198
10169,0.03242161,0.447457,-0.3281277
10170,0.03610419,0.4558295,-0.3263207
10171,0.04256483,0.4734512,-0.3223973
10172,0.04537845,0.4798917,-0.3201689
10173,0.04810482,0.4842922,-0.3184887
10174,0.05097404,0.4895251,-0.3166716
10175,0.05363716,0.4874804,-0.3156768
10176,0.05621672,0.4846465,-0.3144677
10177,0.05888747,0.4850389,-0.3130998
10178,0.06024897,0.4780855,-0.3117178
10179,0.06227331,0.4752125,-0.3104131
10180,0.06275538,0.4638542,-0.3099325
