frame,x,y,z
8001,0.07344268,0.4803057,-0.3581402
8002,0.07323834,0.4798855,-0.3583241
8003,0.07366192,0.4775775,-0.3581025
8004,0.0734824,0.4758385,-0.3581565
8005,0.07320839,0.4743099,-0.3582396
8006,0.07297832,0.4726529,-0.3582242
8007,0.07175161,0.4686266,-0.3581677
8008,0.07120257,0.4660991,-0.3581619
8009,0.07016331,0.4631921,-0.3582496
8010,0.06941921,0.4604716,-0.3581807
8011,0.0682682,0.4577458,-0.3580204
8012,0.0672335,0.4551745,-0.3579686
8013,0.06614022,0.4530326,-0.3579673
8014,0.06485457,0.4514183,-0.3577721
8015,0.06362311,0.4494925,-0.357689
8016,0.0618668,0.4483876,-0.3575154
8017,0.06034596,0.446832,-0.3575634
8018,0.05874878,0.4465919,-0.3578229
8019,0.05722839,0.4464684,-0.3578973
8020,0.05534115,0.4501847,-0.3575445
8021,0.0535873,0.4514087,-0.3574485
8022,0.05184677,0.453374,-0.3576621
8023,0.05043161,0.4575645,-0.3582972
8024,0.04914869,0.4597585,-0.3585073
8025,0.04801612,0.4626946,-0.3594852
8026,0.04696628,0.4642403,-0.3600488
8027,0.04591432,0.4662811,-0.3608115
8028,0.04484536,0.4685916,-0.3614282
8029,0.04533176,0.4702379,-0.3625373
8030,0.04559836,0.4728119,-0.3627556
8031,0.04571964,0.4749744,-0.3629466
8032,0.04547968,0.4770587,-0.3634715
8033,0.04583135,0.4782504,-0.3640256
8034,0.04599968,0.4797274,-0.3645065
8035,0.04643544,0.4802628,-0.3654252
8036,0.04679639,0.4810243,-0.3662961
8037,0.04725121,0.4812023,-0.3673934
8038,0.04793341,0.4813889,-0.3682751
8039,0.04861417,0.4814471,-0.3691609
8040,0.04936018,0.4811056,-0.3699034
8041,0.05011356,0.4806218,-0.37056
8042,0.05086414,0.4795384,-0.3712392
8043,0.05172521,0.4782546,-0.3718417
8044,0.0525851,0.4772406,-0.3724798
8045,0.05359902,0.4752922,-0.3726908
8046,0.05461014,0.4734439,-0.3730237
8047,0.05580461,0.471365,-0.3731675
8048,0.05729831,0.4690177,-0.3730689
8049,0.05847354,0.4668031,-0.3731249
8050,0.05978743,0.464087,-0.3728743
8051,0.06097649,0.4616091,-0.3728156
8052,0.06241272,0.459069,-0.3721842
8053,0.06359407,0.4565679,-0.371603
8054,0.06491598,0.4545137,-0.3710728
8055,0.06655633,0.4528651,-0.3703703
8056,0.06821122,0.4511063,-0.3695993
8057,0.07017101,0.4501825,-0.3684029
8058,0.0721568,0.4490757,-0.3673843
8059,0.07446215,0.4477206,-0.3663759
8060,0.07670908,0.4472183,-0.3655735
8061,0.07870965,0.4468684,-0.3647047
8062,0.08085805,0.4506688,-0.3635838
8063,0.08295242,0.451633,-0.3625956
8064,0.08496736,0.4543523,-0.3621893
8065,0.08707333,0.4571777,-0.3616706
8066,0.08904983,0.4588,-0.3612544
8067,0.09089234,0.4612251,-0.3611007
8068,0.09269738,0.4635842,-0.3607538
8069,0.0938127,0.4657854,-0.3601611
8070,0.0946017,0.4678131,-0.36
8071,0.09524728,0.470297,-0.3599531
8072,0.0959416,0.4727921,-0.359637
8073,0.09675384,0.4752201,-0.3592307
8074,0.09755607,0.4775873,-0.3588595
8075,0.09773768,0.4788226,-0.3587032
8076,0.09842388,0.4802873,-0.3585961
8077,0.09920868,0.4812852,-0.3585877
8078,0.09973744,0.4825146,-0.3585852
8079,0.1001675,0.4837742,-0.3586425
8080,0.1005419,0.4833582,-0.3591546
8081,0.1008554,0.4830739,-0.3594906
8082,0.1011735,0.4832608,-0.3598743
8083,0.1007646,0.4825665,-0.3603497
8084,0.1009104,0.482329,-0.3606373
8085,0.100923,0.4807999,-0.3607717
8086,0.1008879,0.4793939,-0.3609033
8087,0.100923,0.4777626,-0.3610724
8088,0.1006735,0.47558,-0.3611383
8089,0.1006334,0.4738832,-0.361288
8090,0.1000512,0.4707687,-0.3612438
8091,0.09979767,0.46841,-0.3612788
