frame,x,y,z
3001,0.08541306,0.4810907,-0.3928671
3002,0.08460978,0.4758966,-0.3924795
3003,0.08367275,0.4710731,-0.3923037
3004,0.08244979,0.4661982,-0.3919799
3005,0.08110371,0.4606245,-0.3917132
3006,0.0798668,0.4549793,-0.3914205
3007,0.07853036,0.4498236,-0.391387
3008,0.07717427,0.4453264,-0.3911622
3009,0.07572282,0.4434349,-0.3910875
3010,0.07393397,0.4410898,-0.3909304
3011,0.07226546,0.4380504,-0.390759
3012,0.07011233,0.4380138,-0.390377
3013,0.06837225,0.4366477,-0.3903315
3014,0.06692176,0.4376156,-0.390938
3015,0.06521317,0.4452787,-0.3912283
3016,0.06355811,0.4483404,-0.391382
3017,0.06257253,0.4491511,-0.3910192
3018,0.06154094,0.4533799,-0.3918838
3019,0.06092356,0.4569163,-0.3918632
3020,0.06087889,0.4616795,-0.3928894
3021,0.06082977,0.4666056,-0.3932683
3022,0.06068308,0.4716645,-0.3937079
3023,0.06068584,0.4782112,-0.3935881
3024,0.06090466,0.4828702,-0.3932934
3025,0.061234,0.4875327,-0.3933531
3026,0.06209522,0.4897087,-0.3934878
3027,0.06290087,0.4909761,-0.3936345
3028,0.06361216,0.4934664,-0.3937597
3029,0.06489544,0.4911857,-0.3936205
3030,0.06593604,0.4904833,-0.3934411
3031,0.06698271,0.4904237,-0.3933628
3032,0.06691939,0.485408,-0.3923299
3033,0.06792476,0.482096,-0.3915913
3034,0.06897804,0.4789444,-0.3909159
3035,0.07026794,0.4729199,-0.3897686
3036,0.07144364,0.4683894,-0.3888592
3037,0.07251317,0.4633226,-0.3877877
3038,0.07366951,0.4580044,-0.3867705
3039,0.07501038,0.4523603,-0.3857853
3040,0.07685057,0.4480908,-0.3850088
3041,0.07854087,0.4453267,-0.3839831
3042,0.08031594,0.4427291,-0.382575
3043,0.08258156,0.4412171,-0.3812518
3044,0.08463591,0.439568,-0.3800658
3045,0.08663911,0.4377994,-0.3789873
3046,0.08862372,0.4360071,-0.3779444
3047,0.09072344,0.4401086,-0.3791185
3048,0.09206722,0.4454871,-0.3784034
