frame,x,y,z
1,0.1713253,0.7268962,-0.4194692
2,0.170333,0.7206355,-0.4200007
3,0.1697015,0.7140225,-0.4203998
4,0.1680011,0.7111725,-0.4204013
5,0.1669028,0.706354,-0.4204644
6,0.164856,0.7052065,-0.4195742
7,0.1631917,0.7020123,-0.4194283
8,0.1609687,0.702468,-0.4191859
9,0.1586898,0.7025194,-0.418851
10,0.1565323,0.7019638,-0.418776
11,0.1539779,0.703612,-0.4190311
12,0.1517143,0.7041803,-0.4191082
13,0.1495878,0.7052009,-0.4192338
14,0.1474677,0.7070192,-0.4188586
15,0.1453017,0.7096564,-0.4180621
16,0.1431706,0.7128771,-0.4169067
17,0.141015,0.7158718,-0.4158969
18,0.1388524,0.7203191,-0.4140065
19,0.1367372,0.7253881,-0.4117486
20,0.1345519,0.7300776,-0.4097609
21,0.1322465,0.7363599,-0.4063751
22,0.1299302,0.7420081,-0.4035489
23,0.1275202,0.7478817,-0.4009177
24,0.1251147,0.7535089,-0.3983406
25,0.1226548,0.7582476,-0.3962903
26,0.1204026,0.7622284,-0.3952512
27,0.1180887,0.7670441,-0.3934812
28,0.1164314,0.7686217,-0.3942248
29,0.1146775,0.7715124,-0.3937213
30,0.113326,0.7729927,-0.3931608
31,0.1119683,0.7729792,-0.3928889
32,0.1107079,0.7715497,-0.3928392
33,0.1099617,0.7688318,-0.39311
34,0.1090857,0.7666456,-0.3933471
35,0.1082323,0.7646402,-0.3936362
36,0.1093822,0.7556929,-0.3978077
37,0.1092368,0.7510278,-0.3994514
38,0.1097938,0.7453444,-0.401955
39,0.1100599,0.7403066,-0.4042461
40,0.1104067,0.7356362,-0.4060358
41,0.1108903,0.7306144,-0.4079759
42,0.1117183,0.7253396,-0.4100765
43,0.1125407,0.7205977,-0.4128599
44,0.1134321,0.7157177,-0.4152603
45,0.1144553,0.7128085,-0.4176625
46,0.1156827,0.7092833,-0.4201788
47,0.116697,0.7056109,-0.4225497
48,0.1189122,0.7056051,-0.4243939
49,0.120822,0.7046872,-0.4261974
50,0.1228908,0.7046041,-0.4276803
51,0.1250252,0.7043199,-0.4291626
52,0.1274926,0.7046089,-0.4301678
53,0.1298055,0.7049658,-0.4314251
54,0.1323818,0.7069485,-0.4320017
55,0.1349675,0.709008,-0.4320983
56,0.1375058,0.7106777,-0.4325451
57,0.1397699,0.7142736,-0.4323906
58,0.1422796,0.717745,-0.4323533
59,0.1446622,0.7220799,-0.4318286
60,0.1468955,0.7269242,-0.4307581
61,0.1489594,0.7323061,-0.4297506
62,0.1533549,0.7435806,-0.4274981
63,0.155627,0.7494392,-0.426283
64,0.1579726,0.7567503,-0.4238209
65,0.1601445,0.7628266,-0.4222969
66,0.1621631,0.7674587,-0.4213276
67,0.1643043,0.7727834,-0.4199274
68,0.1663151,0.7749773,-0.4191278
69,0.168313,0.778818,-0.418018
70,0.1700455,0.7794434,-0.4170071
71,0.1717092,0.7793161,-0.4160737
72,0.1734841,0.7806419,-0.4150902
73,0.1746159,0.7766017,-0.4148995
74,0.1756436,0.7737339,-0.4145939
75,0.1768604,0.7717772,-0.4141602
76,0.175987,0.7613937,-0.4155249
77,0.1762499,0.7557307,-0.4159524
78,0.1755807,0.7484704,-0.4169862
79,0.1753743,0.7417583,-0.4176124
80,0.1745788,0.7359279,-0.4187544
81,0.1738964,0.7294113,-0.4194555
82,0.1728767,0.7249444,-0.4202896
83,0.1716359,0.720158,-0.4209133
84,0.1704987,0.7149968,-0.4216205
85,0.1686129,0.7122955,-0.4215314
86,0.1669777,0.709353,-0.4217665
87,0.1649055,0.7078589,-0.4213987
88,0.1625029,0.7069206,-0.4210585
89,0.1603498,0.7055088,-0.4208826
90,0.1573092,0.7055609,-0.4203914
91,0.1548002,0.7056015,-0.4198893
92,0.1523848,0.7056083,-0.41946
93,0.1496056,0.7089304,-0.4180955
94,0.1469982,0.7103163,-0.4173247
95,0.1440272,0.7143438,-0.4149107
96,0.1412557,0.7167389,-0.4133153
97,0.1381366,0.7217096,-0.4118385
98,0.135068,0.7256463,-0.4098401
99,0.1323547,0.7326774,-0.4064527
100,0.1268757,0.7444196,-0.4011829
101,0.124426,0.7507963,-0.3977196
102,0.1220077,0.7569023,-0.3947468
103,0.1195564,0.7630842,-0.3917727
104,0.1180386,0.7654287,-0.3904739
105,0.1159757,0.7701797,-0.3882062
106,0.1139606,0.7744063,-0.3861113
107,0.1126255,0.7720785,-0.3881443
108,0.1108962,0.77381,-0.3875043
109,0.1100074,0.7701777,-0.389384
110,0.108628,0.7697829,-0.3896481
111,0.1080738,0.7663557,-0.3915606
112,0.1072322,0.7638297,-0.392848
113,0.1067977,0.7586528,-0.3955743
114,0.1061453,0.7545671,-0.3979004
115,0.1059155,0.7487969,-0.4019323
116,0.1056361,0.7437134,-0.4045773
117,0.1053947,0.738784,-0.4072275
118,0.1054518,0.7337265,-0.4092052
119,0.1056091,0.7285573,-0.4113571
120,0.1058974,0.7232662,-0.4131574
121,0.1064412,0.7184248,-0.4157262
122,0.1068548,0.7133086,-0.4181839
123,0.1085425,0.7106339,-0.4200609
124,0.1097141,0.7073662,-0.422013
125,0.1114206,0.7057707,-0.4234592
126,0.1133849,0.7052177,-0.4243105
127,0.1154943,0.705246,-0.4250217
128,0.1179072,0.7057183,-0.4256374
129,0.1200095,0.7057689,-0.4265458
130,0.1232752,0.709168,-0.4255505
131,0.1261182,0.7115679,-0.4251853
132,0.1293109,0.7155728,-0.4238405
133,0.132428,0.7196462,-0.422417
134,0.1353202,0.724138,-0.4218493
135,0.1386465,0.7289542,-0.4206751
136,0.1419403,0.7348812,-0.4190812
137,0.1481965,0.7459738,-0.4160033
138,0.151366,0.7519594,-0.4147131
139,0.1544226,0.7606422,-0.411694
140,0.1574928,0.7675282,-0.4092953
