frame,x,y,z
1,0.07940775,0.5108497,0.1254734
2,0.07630766,0.5158609,0.1257734
3,0.07363854,0.5201347,0.1256936
4,0.07133374,0.525082,0.1253236
5,0.06884828,0.5299785,0.1251304
6,0.06646662,0.5351121,0.1248797
7,0.06414429,0.5400648,0.1245232
8,0.06178173,0.5451356,0.1242672
9,0.0594015,0.5492898,0.1239613
10,0.05706062,0.5528574,0.1236741
11,0.05468678,0.5572092,0.1234092
12,0.05296625,0.5573494,0.1233049
13,0.05079247,0.5598136,0.1231162
14,0.04930033,0.5580406,0.1227789
15,0.04749511,0.5579793,0.1225092
16,0.04618718,0.5556828,0.1219461
17,0.04499476,0.5527,0.1215042
18,0.04387819,0.5494406,0.1210734
19,0.04291784,0.5456573,0.1205224
20,0.04179882,0.5421993,0.1201629
21,0.0413582,0.5366668,0.1194862
22,0.04044943,0.5320458,0.1190294
23,0.04019298,0.5264633,0.1181328
24,0.04001075,0.5210335,0.1174507
25,0.03998148,0.5158387,0.116715
26,0.04010823,0.5110298,0.1162002
27,0.04020794,0.5008453,0.1150673
28,0.04116069,0.4971468,0.1150127
29,0.04157786,0.4926336,0.1146978
30,0.04287218,0.4897431,0.1148449
31,0.04426862,0.4874038,0.1152109
32,0.04530156,0.4841159,0.1152793
33,0.04729494,0.4843755,0.116012
34,0.0487387,0.4827115,0.1165185
35,0.05026324,0.4813012,0.11702
36,0.05233733,0.4835947,0.1190581
37,0.05396018,0.4835712,0.1201698
38,0.05592117,0.4863107,0.1218327
39,0.05766599,0.4875064,0.1231627
40,0.05983867,0.4909352,0.1241085
41,0.06175838,0.4934087,0.1254362
42,0.06415718,0.4978178,0.1271022
43,0.06629966,0.5020123,0.1287455
44,0.06839492,0.5058497,0.1302506
45,0.07060244,0.5110707,0.1320012
46,0.07279678,0.5159124,0.1335694
47,0.0751901,0.5211352,0.135233
48,0.07769795,0.5265827,0.1367657
49,0.08236939,0.5365321,0.1395933
50,0.08466451,0.5413276,0.1410326
51,0.08702129,0.5451427,0.1424428
52,0.08927234,0.5494215,0.1438779
53,0.09148322,0.5514979,0.1452986
54,0.0935477,0.5530674,0.146655
55,0.09565455,0.5554522,0.1480633
56,0.09758904,0.5537675,0.1491326
57,0.09949221,0.5526211,0.1501295
58,0.1014897,0.5499105,0.1506251
59,0.103439,0.5483227,0.1514692
60,0.1051563,0.5436441,0.1510004
61,0.1068093,0.5402976,0.151319
62,0.1083197,0.5352658,0.1511786
63,0.1099152,0.5309448,0.1511315
64,0.1109761,0.5255567,0.1499904
65,0.1119558,0.5204841,0.1494833
66,0.1130331,0.5154265,0.1491654
67,0.1135924,0.510233,0.1485406
68,0.1141187,0.5052471,0.1478995
69,0.1144094,0.5004066,0.1471564
70,0.1143616,0.495731,0.1462445
71,0.114481,0.490881,0.1453517
72,0.1136245,0.4877194,0.1439861
73,0.1131598,0.4838362,0.1428332
74,0.1120473,0.4814655,0.1413606
75,0.1108695,0.4791053,0.1399276
76,0.1093523,0.4773482,0.1385194
77,0.1077452,0.4762946,0.1371194
78,0.1058797,0.4761672,0.1357581
79,0.1037373,0.4766389,0.1345995
80,0.1017027,0.4773849,0.1333515
81,0.09929676,0.4792534,0.1321875
82,0.0966618,0.4820633,0.1309964
83,0.09423395,0.4839942,0.1297655
84,0.0914151,0.4881849,0.1289995
85,0.08872969,0.4914548,0.1279642
86,0.08552573,0.4956412,0.1271692
87,0.08274717,0.4998148,0.1264542
88,0.07992234,0.5038267,0.1255296
89,0.07719543,0.5082042,0.1245336
90,0.07453597,0.5124141,0.1235182
91,0.0723834,0.5166777,0.1222213
92,0.0698799,0.5210654,0.1211081
93,0.06755254,0.5258286,0.1200671
94,0.06545621,0.5298024,0.1188139
95,0.06326044,0.5340414,0.1175764
96,0.06157285,0.5370968,0.1159339
97,0.05972221,0.5403949,0.1144486
98,0.05784278,0.543815,0.113013
99,0.05670085,0.5444913,0.1111549
100,0.05543404,0.5456419,0.1093718
101,0.05460153,0.5455196,0.1073449
102,0.05345359,0.5461963,0.1054737
103,0.0532699,0.5436969,0.102714
104,0.05272093,0.5419922,0.1003719
105,0.05205115,0.5407755,0.09814206
106,0.05200811,0.5368426,0.09564201
107,0.05181772,0.5337901,0.09316222
108,0.05183705,0.5297499,0.09073671
109,0.05189233,0.5259131,0.08822486
110,0.0519452,0.5209033,0.08585709
111,0.05198396,0.5162187,0.08356538
112,0.05223835,0.5116414,0.08132574
113,0.05246175,0.507606,0.0796186
114,0.05304174,0.5033349,0.07781777
115,0.05395939,0.4997803,0.07620539
116,0.05480401,0.4967218,0.07458431
117,0.0555239,0.4933489,0.07295487
118,0.05625219,0.4900669,0.0713763
119,0.05791305,0.4922382,0.07124884
120,0.05897644,0.4909358,0.0702327
121,0.06069532,0.4933818,0.07096376
122,0.06212769,0.4937406,0.07063322
123,0.06408677,0.4960493,0.07077057
124,0.06574969,0.4976392,0.07069372
125,0.06767396,0.5014142,0.07098536
126,0.0696529,0.5058947,0.07187603
127,0.07149132,0.5092991,0.07227876
128,0.07355758,0.5152047,0.07381517
129,0.07555712,0.520083,0.07486366
130,0.07753076,0.5253563,0.07639255
131,0.07946453,0.53057,0.07810075
132,0.08141123,0.5358283,0.07976626
133,0.08345135,0.5406651,0.08134256
134,0.0854266,0.545644,0.08276381
135,0.08724138,0.5498214,0.08403549
136,0.08915538,0.5540127,0.08554043
137,0.09109955,0.5571012,0.08708064
138,0.09298667,0.5602489,0.08858571
139,0.09467407,0.5619232,0.09013312
140,0.09635653,0.5631166,0.0917173
141,0.09810813,0.564139,0.09322502
142,0.0998889,0.5631407,0.09427503
143,0.1017098,0.5602181,0.09473717
144,0.1034438,0.5590529,0.09570646
145,0.1054821,0.5539238,0.09509467
146,0.1072123,0.5508936,0.09548836
147,0.1086728,0.5461255,0.09571184
148,0.1101819,0.5417879,0.09598559
149,0.1115777,0.536697,0.09597713
150,0.1128485,0.5312141,0.09567333
151,0.1142013,0.5261231,0.09567355
152,0.1150252,0.5214841,0.09542397
153,0.1157541,0.5167034,0.09529079
154,0.1160462,0.5121076,0.09480093
155,0.1164296,0.5074716,0.09434649
156,0.1166666,0.5035694,0.09358188
157,0.116677,0.5000337,0.09274668
158,0.1165983,0.496423,0.09188027
159,0.1165586,0.492948,0.09109823
160,0.1155059,0.492761,0.08991428
161,0.1146917,0.4915792,0.08895141
162,0.1136995,0.4909865,0.08793672
163,0.1127514,0.4900143,0.08692586
164,0.1117714,0.490256,0.08571714
165,0.1105626,0.4915453,0.08483648
166,0.1090063,0.4932048,0.08419937
167,0.1072589,0.4953776,0.08372045
168,0.1057388,0.4971987,0.08297747
169,0.1037702,0.5016781,0.08304351
170,0.1020796,0.5047036,0.08265104
171,0.1002116,0.5087531,0.08263996
172,0.09833848,0.5127026,0.08261014
173,0.0965137,0.5165327,0.08246435
174,0.09494907,0.5205773,0.08199966
175,0.09319491,0.5245453,0.08178835
176,0.09141151,0.5285911,0.08157455
177,0.08999151,0.5328591,0.08155102
178,0.08836452,0.5370905,0.08146697
179,0.0867774,0.5413548,0.08138609
180,0.08539694,0.5458832,0.08190195
181,0.08384836,0.5501614,0.08201658
182,0.08241887,0.5537695,0.08231138
183,0.08102474,0.5572202,0.08252035
184,0.07985803,0.5592977,0.0827071
185,0.07896421,0.5604515,0.08263448
186,0.07821878,0.560276,0.08249424
187,0.07734303,0.5595219,0.08239104
