frame,x,y,z
1,-0.003886558,0.537715,0.1844996
2,-0.004387742,0.5319829,0.1818177
3,-0.006004029,0.5292341,0.1793551
4,-0.007173196,0.5244259,0.1769867
5,-0.007943372,0.5186105,0.1747927
6,-0.008191269,0.5115504,0.1729808
7,-0.00819296,0.5038018,0.1710311
8,-0.008546621,0.4968271,0.1689813
9,-0.00699167,0.4890738,0.1667012
10,-0.005492155,0.4745833,0.1636936
11,-0.004261981,0.4687761,0.1625625
12,-0.003104578,0.4623816,0.1613081
13,-0.001320574,0.4587832,0.1603307
14,0.000164777,0.4537645,0.1593382
15,0.002201196,0.4547004,0.1603035
16,0.004497435,0.4555595,0.1612033
17,0.006459195,0.4554023,0.1617581
18,0.008533075,0.4556527,0.1623309
19,0.01082017,0.4646427,0.1655171
20,0.01290131,0.4676671,0.1669132
21,0.01513086,0.4755929,0.1688147
22,0.0173194,0.481362,0.1706595
23,0.01967465,0.4883823,0.1729878
24,0.02432993,0.5017707,0.1773607
25,0.02694397,0.5089127,0.1810318
26,0.02940946,0.5155781,0.1837144
27,0.03186633,0.5224175,0.1863345
28,0.03446136,0.5256677,0.1900356
29,0.03682953,0.5311036,0.1931538
30,0.04103344,0.5361063,0.1994083
31,0.04299442,0.5351594,0.2018244
32,0.0451597,0.5341326,0.2042754
33,0.04766526,0.5303628,0.2058971
34,0.04994747,0.5258787,0.2072616
35,0.05206721,0.5214184,0.2086576
36,0.05414142,0.5170974,0.2101647
37,0.05515239,0.508644,0.2111188
38,0.05626114,0.5021867,0.2117967
39,0.05880275,0.4886891,0.2135025
40,0.05995223,0.4820352,0.2143247
41,0.0598933,0.4764571,0.2144561
42,0.05989287,0.4709756,0.2141969
43,0.05974156,0.4664852,0.2140261
44,0.05941866,0.4621343,0.2139946
45,0.05800143,0.460707,0.2140761
46,0.05636556,0.4603215,0.2142431
47,0.05332488,0.4629967,0.2148398
48,0.05051078,0.465331,0.2154238
49,0.04714955,0.4704713,0.2162942
50,0.04432331,0.4754087,0.2166639
51,0.04146276,0.4804909,0.2168375
52,0.03858076,0.4857154,0.21715
53,0.03591681,0.4938076,0.2168441
54,0.03305419,0.5004312,0.2169268
55,0.03079482,0.5075835,0.2167097
56,0.02840978,0.5146683,0.2166442
57,0.02622193,0.5211744,0.2165282
58,0.02402942,0.5269538,0.2162647
59,0.021765,0.5333074,0.215971
60,0.0199789,0.5359834,0.215116
61,0.01795537,0.5400435,0.2143975
62,0.01599816,0.5445262,0.2137027
63,0.01475623,0.5408376,0.2112279
64,0.01309239,0.5421404,0.2098584
65,0.01292874,0.5368954,0.2070154
66,0.0126567,0.5326959,0.2046841
67,0.01171343,0.5295413,0.2026196
68,0.01150398,0.5232016,0.2007723
69,0.01082518,0.5183468,0.1987606
70,0.01151792,0.5090371,0.1967326
71,0.01140046,0.50244,0.1946387
72,0.01279793,0.4940989,0.1923597
73,0.01360221,0.4866039,0.1902584
74,0.01429456,0.4790337,0.1881045
75,0.01674654,0.474944,0.1866008
76,0.01791915,0.4684071,0.1847869
77,0.02025489,0.4671508,0.1844094
78,0.02190636,0.4635137,0.1833418
79,0.0239442,0.4646958,0.1834687
80,0.02597748,0.4641558,0.1833773
81,0.02840646,0.4673326,0.1849055
82,0.03054688,0.4707425,0.1864865
83,0.03266034,0.4740186,0.1878202
