frame,x,y,z
1,0.02306412,0.4576467,-0.3641753
2,0.02349096,0.4594521,-0.3649321
3,0.0235739,0.4613334,-0.3656249
4,0.02370463,0.4630446,-0.3662733
5,0.02384914,0.4648581,-0.3665799
6,0.02412262,0.4666343,-0.3670941
7,0.02446584,0.4669102,-0.3672459
8,0.02487407,0.4678852,-0.3676099
9,0.02535192,0.4673371,-0.3682099
10,0.02560504,0.4671684,-0.3686563
11,0.02598804,0.4671719,-0.3689799
12,0.02603094,0.4666179,-0.3686317
13,0.026177,0.4663156,-0.3684994
14,0.02635422,0.4660185,-0.3684365
15,0.02620752,0.464809,-0.3674068
16,0.02627717,0.4640803,-0.3669704
17,0.02637461,0.462272,-0.366376
18,0.02647182,0.4609167,-0.3657857
19,0.02658792,0.4592354,-0.364999
20,0.0267372,0.4573785,-0.3643286
21,0.02697233,0.4552368,-0.3635978
22,0.02744094,0.4529809,-0.3629245
23,0.02789759,0.4507198,-0.3621971
24,0.02827115,0.4485055,-0.3614669
25,0.02925075,0.4460736,-0.3605935
26,0.02996096,0.4439922,-0.3597596
27,0.03069309,0.4417849,-0.3587825
28,0.03171359,0.4402143,-0.3575112
29,0.03258222,0.4381885,-0.3565389
30,0.03339386,0.4364038,-0.3549479
31,0.03378228,0.4346243,-0.3536385
32,0.0342268,0.4331527,-0.3520858
33,0.03403781,0.4343839,-0.3490839
34,0.03425215,0.4342326,-0.346818
35,0.0335183,0.4361586,-0.3424814
36,0.03309777,0.436974,-0.3393293
37,0.03179403,0.4385376,-0.3352548
38,0.03118865,0.4376704,-0.3324438
39,0.03050503,0.4380827,-0.3293207
40,0.0315889,0.4375185,-0.3308387
41,0.03110169,0.4400226,-0.3288706
42,0.03062849,0.4416352,-0.3278532
43,0.02990504,0.4445963,-0.3272662
44,0.02954036,0.4465621,-0.3267178
45,0.02867207,0.4486929,-0.3266675
46,0.02794925,0.450302,-0.326698
47,0.0272009,0.4518679,-0.3267624
48,0.02622435,0.452213,-0.3273963
49,0.02537236,0.4524356,-0.3275135
50,0.02467293,0.4512624,-0.3277955
51,0.02398551,0.4499241,-0.3283076
52,0.02311249,0.4487984,-0.3288047
53,0.02273969,0.4464439,-0.3299297
54,0.02201318,0.4445321,-0.3305822
55,0.02131157,0.4425893,-0.3313653
56,0.02116264,0.4394179,-0.3317422
57,0.02066545,0.4369404,-0.3323705
58,0.02039329,0.4348847,-0.3327615
59,0.02002521,0.4328162,-0.3330916
60,0.01931069,0.4311837,-0.3329825
61,0.01845782,0.4294043,-0.3326396
62,0.01718938,0.4275033,-0.3319394
63,0.01604872,0.4256226,-0.3315435
64,0.01497252,0.4237177,-0.3311318
65,0.01317125,0.4220515,-0.3305654
