frame,x,y,z
1,-0.03860357,-0.02535606,0.161602
2,-0.03695419,-0.02297328,0.1603418
3,-0.03495703,-0.0175112,0.1594062
4,-0.03407502,-0.0163305,0.1610276
5,-0.03351402,-0.01057408,0.1607635
6,-0.03236792,-0.004167523,0.1601501
7,-0.03150696,-0.002623774,0.1616387
8,-0.0310103,-0.0004203001,0.1613253
9,-0.03039213,0.001209604,0.1604392
10,-0.02998745,0.003164745,0.1599695
11,-0.02974253,0.005981907,0.159974
12,-0.02982917,0.007718454,0.1603381
13,-0.0296501,0.01002043,0.1602286
14,-0.02931897,0.01232495,0.160134
15,-0.02968716,0.01255486,0.1590066
16,-0.02950611,0.01445202,0.1587181
17,-0.03005487,0.01585806,0.1564999
18,-0.03096506,0.01519568,0.1570114
19,-0.03102373,0.01521416,0.156384
20,-0.03104476,0.01446713,0.155913
21,-0.03122663,0.01292796,0.1553574
22,-0.03147971,0.01134047,0.1545284
23,-0.03176927,0.01023479,0.1537316
24,-0.03194134,0.009041782,0.1531543
25,-0.03236927,0.005890733,0.1535726
26,-0.03258701,0.004434501,0.153189
27,-0.03308729,0.002484864,0.153231
28,-0.03335876,0.000900029,0.1529305
29,-0.03383224,-0.003362221,0.1544793
30,-0.03427596,-0.007125462,0.1558639
31,-0.03496091,-0.01105541,0.1567423
32,-0.03563255,-0.01433688,0.157381
33,-0.03664201,-0.01787758,0.1583783
34,-0.0377516,-0.02096216,0.1592337
35,-0.03874176,-0.02405485,0.1600512
36,-0.03952823,-0.02722949,0.1608073
37,-0.04107672,-0.02862119,0.1616173
38,-0.04302339,-0.02986309,0.1632914
39,-0.04458499,-0.03148249,0.1645681
40,-0.04642549,-0.03030141,0.166387
41,-0.04814862,-0.02916631,0.1684629
42,-0.05020722,-0.02910823,0.1707518
43,-0.052017,-0.02825417,0.1695187
44,-0.05345619,-0.02380709,0.1684138
45,-0.0549089,-0.02126202,0.1684932
46,-0.05633326,-0.0196834,0.1696063
47,-0.05704328,-0.01002521,0.1691076
48,-0.05793038,-0.004790697,0.1701785
49,-0.05863322,-0.003216248,0.1724204
50,-0.05912866,-0.0002981523,0.1718967
51,-0.05909017,0.0007156163,0.1709662
52,-0.05885605,0.001254528,0.1704274
53,-0.05856626,0.002300724,0.1700161
54,-0.05859523,0.003632015,0.1698409
55,-0.05863182,0.00369677,0.1696531
56,-0.05841962,0.004665451,0.1688778
57,-0.05834287,0.006231429,0.1683275
58,-0.0582842,0.007817701,0.167754
59,-0.05746375,0.0111471,0.1666912
60,-0.05731431,0.01276748,0.1661766
61,-0.05716474,0.01438876,0.1656615
62,-0.05670214,0.01263914,0.1672347
63,-0.05649674,0.01379141,0.1669812
64,-0.05593876,0.01451864,0.1657334
65,-0.05481112,0.01070482,0.1638613
66,-0.0541666,0.006607138,0.1613292
67,-0.05374167,0.006316719,0.1604779
68,-0.05331613,0.006026329,0.1596278
69,-0.0531036,-0.0003030549,0.1627296
70,-0.05274987,-0.003232251,0.1630777
71,-0.05235627,-0.004812227,0.1629594
72,-0.05249603,-0.01171109,0.164041
73,-0.05224462,-0.01463212,0.1642105
74,-0.05195911,-0.01735329,0.1643714
75,-0.05188752,-0.02396112,0.1645866
76,-0.05111621,-0.02764521,0.1645742
77,-0.04989602,-0.02866941,0.1657603
78,-0.04924983,-0.03061523,0.166513
79,-0.04870411,-0.03340073,0.1669472
80,-0.04812755,-0.03595451,0.1674251
81,-0.04757535,-0.03870263,0.167868
82,-0.046947,-0.0410765,0.1685488
83,-0.04569314,-0.03976168,0.1701808
84,-0.04402732,-0.03590005,0.1725979
85,-0.04325526,-0.03734402,0.1734499
86,-0.03936393,-0.02425002,0.1778568
87,-0.03742939,-0.02000457,0.1771716
88,-0.03543395,-0.004950034,0.1757523
89,-0.03374915,-0.0004721034,0.1779399
90,-0.03294503,0.0009970781,0.179165
91,-0.03170295,0.002297207,0.1776437
92,-0.030466,0.004509636,0.1775041
93,-0.0293104,0.007055371,0.1780075
94,-0.02823161,0.00962926,0.1787145
95,-0.02755665,0.0112148,0.1791977
96,-0.02677379,0.01228167,0.1790602
97,-0.02600387,0.01234787,0.178341
98,-0.02539458,0.0144476,0.177709
99,-0.0248467,0.01549719,0.1780133
100,-0.02434586,0.01639857,0.178172
101,-0.02374742,0.01758507,0.1781274
102,-0.02344639,0.0180581,0.1774212
103,-0.02330782,0.01486368,0.1761557
104,-0.02315793,0.0133567,0.1752743
105,-0.02311863,0.01240659,0.1745154
106,-0.02336751,0.01112455,0.1744622
107,-0.02370715,0.009467402,0.1745246
108,-0.02401914,0.00783629,0.1744764
109,-0.02444054,0.005597096,0.1745101
110,-0.02494808,0.002751266,0.1748132
111,-0.02537473,0.0005464056,0.1750295
112,-0.0259828,-0.003380776,0.1758782
113,-0.0266352,-0.007273168,0.1763401
114,-0.02746546,-0.01098758,0.1767539
115,-0.02831446,-0.01479142,0.1773728
116,-0.02932112,-0.01868105,0.1781001
117,-0.03004429,-0.02219591,0.1785987
118,-0.03076758,-0.02571106,0.1790974
119,-0.03149103,-0.02922712,0.1795962
120,-0.03267897,-0.0332002,0.1804586
121,-0.03400416,-0.03550203,0.1813079
122,-0.03598503,-0.03574567,0.183992
123,-0.03704777,-0.03872107,0.1849177
124,-0.03810851,-0.04169094,0.1858416
125,-0.04181249,-0.03420476,0.1916981
126,-0.04382212,-0.03413919,0.1938925
127,-0.04552341,-0.0305429,0.1931883
128,-0.04647317,-0.02328844,0.1947781
129,-0.04791903,-0.02202775,0.196154
130,-0.04776186,-0.008652322,0.1944398
131,-0.0488253,-0.004348215,0.1951773
132,-0.04992586,-0.0003216901,0.1959102
133,-0.05102703,0.003709513,0.1966443
134,-0.04870443,0.003939142,0.1954351
135,-0.04832901,0.004582582,0.194928
136,-0.04758395,0.004468534,0.1923014
137,-0.04751645,0.005435145,0.1913036
138,-0.04710913,0.00590411,0.1899706
139,-0.04664619,0.00976757,0.1887618
140,-0.04635974,0.01132203,0.1890187
141,-0.04612351,0.01237672,0.1889001
142,-0.04584746,0.01353707,0.1881867
143,-0.04567892,0.01458512,0.1875294
144,-0.04543351,0.01600564,0.1869288
145,-0.04546691,0.01502201,0.1862811
146,-0.04552363,0.01305778,0.1853022
147,-0.04539362,0.01344202,0.1846433
148,-0.04526323,0.01382603,0.1839844
149,-0.04630668,0.006447928,0.1827768
150,-0.04704433,0.003210176,0.1834126
151,-0.04771376,-0.0001601374,0.1843445
152,-0.0479533,-0.002655138,0.1846312
153,-0.0482758,-0.005258851,0.1849733
154,-0.04862832,-0.008808498,0.1857229
155,-0.04895012,-0.01249553,0.1863494
156,-0.04889222,-0.01654261,0.1866662
157,-0.0486734,-0.01994818,0.1868835
158,-0.04836015,-0.02311605,0.1871857
159,-0.04813107,-0.0258784,0.1875009
160,-0.04770248,-0.02740219,0.1878835
161,-0.047102,-0.02910426,0.1890774
162,-0.04662071,-0.0300239,0.190153
163,-0.04587664,-0.02826401,0.1917043
164,-0.04473502,-0.0265764,0.1939883
165,-0.04387022,-0.02633785,0.1956115
166,-0.0432004,-0.02661549,0.1969411
167,-0.04253086,-0.02689226,0.19827
168,-0.04186061,-0.02716924,0.1996002
169,-0.04037987,-0.02708703,0.2009847
170,-0.03810623,-0.02498491,0.1997198
171,-0.03638845,-0.01667175,0.1984873
172,-0.03532104,-0.01552025,0.199233
173,-0.03524967,-0.01079811,0.2006879
174,-0.03525488,0.01155049,0.2000478
175,-0.03620418,0.009263759,0.200661
176,-0.03682691,0.009906061,0.1981846
177,-0.03835183,0.008108088,0.1966537
178,-0.03868044,0.01017974,0.1961259
179,-0.03987273,0.009275861,0.1947334
180,-0.04062041,0.01164567,0.1935382
181,-0.04102398,0.0133209,0.1932659
182,-0.04153921,0.01414129,0.1932453
183,-0.04197689,0.01551391,0.1927606
184,-0.04239138,0.01652185,0.192125
185,-0.0427883,0.01661169,0.1914573
186,-0.04320731,0.01444966,0.1906423
187,-0.04366017,0.01494997,0.1900685
188,-0.04425905,0.01245118,0.1888174
189,-0.04487448,0.01117916,0.1877592
190,-0.04571564,0.0083178,0.1877264
191,-0.0466783,0.005749123,0.1882989
192,-0.04752353,0.003486194,0.1887239
193,-0.04846362,0.0007511061,0.1893963
194,-0.04930411,-0.001371396,0.1896178
195,-0.05035247,-0.004260337,0.1900788
196,-0.05265079,-0.01179782,0.1908368
197,-0.0539106,-0.01668949,0.191303
198,-0.05516906,-0.02055273,0.1913536
199,-0.05664092,-0.02335314,0.1914642
200,-0.05775498,-0.02648433,0.1916693
201,-0.05898433,-0.02927667,0.1917441
202,-0.06110762,-0.03207387,0.1922598
203,-0.06353547,-0.0330883,0.1920299
204,-0.06551495,-0.03378535,0.1926514
205,-0.06798184,-0.03045911,0.1956369
206,-0.06986754,-0.02705983,0.1987943
207,-0.07234254,-0.02708698,0.2002802
208,-0.07477001,-0.02575495,0.2002705
209,-0.07670492,-0.02608619,0.2012124
210,-0.07843815,-0.02600637,0.2015652
211,-0.08035108,-0.02628107,0.2024333
212,-0.08251405,-0.02538441,0.2023465
213,-0.08374234,-0.01381346,0.1996339
214,-0.0850893,-0.00926272,0.1988451
215,-0.08508913,-0.008900461,0.1992271
216,-0.0821154,0.01119427,0.1924603
217,-0.08033539,0.01813715,0.199146
218,-0.07772903,0.01114477,0.1946412
219,-0.07711805,0.008775683,0.1918456
220,-0.07712248,0.008368419,0.1906339
221,-0.07709604,0.008967028,0.1886231
222,-0.07669851,0.01210228,0.1869227
223,-0.07650359,0.0131497,0.1867135
224,-0.07593133,0.01336139,0.187338
225,-0.07583101,0.01428487,0.1858474
226,-0.07592606,0.01415446,0.1845864
227,-0.07615484,0.01266085,0.1833418
228,-0.07626545,0.01102745,0.1819544
229,-0.07625689,0.0100917,0.1809058
230,-0.07622909,0.009407134,0.1799248
231,-0.07624201,0.008128408,0.1794353
232,-0.07658593,0.004259078,0.1808655
233,-0.07683215,0.001101415,0.1810023
234,-0.07698911,-0.001298759,0.1807306
235,-0.07698976,-0.004083162,0.1805826
236,-0.0770526,-0.006839639,0.1805731
237,-0.07708627,-0.009477498,0.1804604
238,-0.07694048,-0.01440615,0.1808119
239,-0.07633283,-0.01899445,0.1806625
240,-0.07569879,-0.0216544,0.1807355
241,-0.07501288,-0.02394048,0.1812044
242,-0.07442313,-0.02607779,0.1815497
243,-0.07358319,-0.02826634,0.1818603
244,-0.0722285,-0.02853545,0.181937
245,-0.07028807,-0.02752833,0.1827576
246,-0.06861228,-0.0272622,0.1837298
247,-0.06689915,-0.02672,0.1838779
248,-0.06470616,-0.02639967,0.183396
249,-0.06242565,-0.02546804,0.1824467
250,-0.05963501,-0.01712985,0.1809647
251,-0.05760265,-0.0155117,0.1816779
252,-0.05569026,-0.0139298,0.1815038
253,-0.0546038,0.001908575,0.1830319
254,-0.05278678,0.007744612,0.183204
255,-0.05221826,0.006701066,0.1853735
256,-0.05157536,0.008049737,0.1824819
257,-0.05101817,0.008012289,0.1816286
258,-0.0511097,0.008266084,0.1810093
259,-0.05111331,0.01005493,0.1807118
260,-0.05138992,0.0114921,0.1807679
261,-0.0514608,0.0112902,0.1801298
262,-0.05160382,0.01181325,0.179322
263,-0.05173979,0.01470281,0.1782285
264,-0.05185793,0.01534357,0.1782151
265,-0.05220843,0.01540359,0.1781494
266,-0.05236749,0.01617305,0.1777683
267,-0.05245769,0.01442935,0.1769603
268,-0.0525771,0.0124647,0.1762216
269,-0.05254515,0.01030256,0.1753226
270,-0.05263874,0.008918757,0.1748074
271,-0.05274849,0.007054186,0.1749545
272,-0.05292421,0.005105282,0.1751865
273,-0.05301396,0.003612325,0.1751218
274,-0.05311106,0.002027337,0.1751245
275,-0.05312711,-0.0001821563,0.1757746
276,-0.05350464,-0.005497792,0.1783359
277,-0.05391806,-0.008705443,0.1788641
