frame,x,y,z
1,-0.05363137,-0.01785276,0.1918252
2,-0.05420851,-0.01901169,0.1890662
3,-0.0550019,-0.02115434,0.188002
4,-0.05613755,-0.02728597,0.1884759
5,-0.05976147,-0.007238761,0.1975609
6,-0.06170311,0.0006512026,0.1992543
7,-0.06315878,0.009622253,0.1959863
8,-0.06432424,0.01727792,0.1961679
9,-0.06342365,0.02503255,0.2000218
10,-0.06327751,0.02437087,0.2010504
11,-0.06383978,0.006501458,0.1952937
12,-0.06509468,0.004077459,0.194145
13,-0.06573659,-0.008570976,0.1940494
14,-0.06619292,-0.01458664,0.1947647
15,-0.06620251,-0.02568705,0.1964317
16,-0.0651236,-0.0451294,0.1970743
17,-0.06423502,-0.05975108,0.1948333
18,-0.06330447,-0.07294546,0.1925109
19,-0.06313092,-0.08267045,0.1918943
20,-0.06226592,-0.08941158,0.1903438
21,-0.05993711,-0.07300892,0.1969865
22,-0.05775657,-0.07188016,0.2061333
23,-0.05446007,-0.07034424,0.2120534
24,-0.05183487,-0.07205101,0.2067651
25,-0.05019714,-0.07527933,0.2002636
26,-0.04847299,-0.07348756,0.1955258
27,-0.04744742,-0.06833988,0.1956744
28,-0.045091,-0.05667101,0.1999507
29,-0.04283253,-0.04820094,0.2047586
30,-0.04063674,-0.03742579,0.2084122
31,-0.03925311,-0.02721543,0.2099426
32,-0.0377971,-0.020099,0.210782
33,-0.03604974,-0.01371324,0.2120974
34,-0.03585073,-0.004315171,0.2111849
35,-0.03483537,0.004759137,0.2142108
36,-0.03341914,0.006600939,0.2163139
37,-0.03217171,0.00797587,0.2154998
38,-0.0309985,0.01061364,0.2150338
39,-0.0297845,0.01391676,0.214857
40,-0.02853438,0.01766793,0.2150218
41,-0.02731932,0.02128143,0.2148913
42,-0.02689758,0.01431628,0.208008
43,-0.025746,0.01725622,0.2075724
44,-0.02481687,-0.006541455,0.2000396
45,-0.02325609,-0.02389396,0.1985085
46,-0.02205202,-0.02628552,0.1971265
47,-0.02233377,-0.05619075,0.2005637
48,-0.02393841,-0.07867961,0.1958511
49,-0.02521335,-0.08734989,0.1908648
50,-0.02485087,-0.09593917,0.1889472
51,-0.02395162,-0.08016039,0.1940726
52,-0.02310748,-0.08114365,0.2095855
53,-0.02675017,-0.07555567,0.206921
54,-0.02698668,-0.07833804,0.2077697
55,-0.02683041,-0.07905173,0.1951607
56,-0.02688634,-0.07973354,0.1927896
57,-0.02816184,-0.06659926,0.1916816
58,-0.03154107,-0.05218534,0.1989781
59,-0.03501539,-0.03344619,0.2075015
60,-0.03641744,-0.02371985,0.2103481
61,-0.03712401,-0.01630405,0.2119499
62,-0.03841266,-0.009450964,0.2121341
63,-0.04045267,-0.003436607,0.2117877
64,-0.04532837,-0.001094023,0.2098744
65,-0.04816589,0.005253779,0.2107477
66,-0.05093589,0.007581479,0.2132348
67,-0.05228333,0.009271328,0.2134086
68,-0.05298962,0.009708872,0.2121902
69,-0.05355904,0.00666435,0.2098072
70,-0.05419956,0.001859664,0.207619
71,-0.05526047,-0.002447491,0.2070414
72,-0.0556497,-0.009068903,0.2076738
73,-0.05599544,-0.01858328,0.2084982
74,-0.05646743,-0.03044647,0.2084151
75,-0.05644469,-0.04256404,0.2068109
76,-0.05632585,-0.05565308,0.2049205
77,-0.05537717,-0.0715835,0.2024746
78,-0.05344469,-0.07719843,0.2010566
79,-0.05087516,-0.07275764,0.2048876
80,-0.04880744,-0.06887915,0.2099949
81,-0.04835404,-0.07345648,0.2209195
82,-0.0481223,-0.06979202,0.2186671
83,-0.04686439,-0.07136844,0.2160494
84,-0.04593315,-0.07374948,0.2171959
85,-0.04461207,-0.07722913,0.2157749
86,-0.04154805,-0.07173795,0.2097575
87,-0.04026762,-0.06544847,0.2089218
88,-0.03662352,-0.04106908,0.2188146
89,-0.03618104,-0.02021287,0.2258693
90,-0.03475057,-0.01300533,0.2281329
91,-0.03331815,-0.005794299,0.2303972
92,-0.03188384,0.001419148,0.2326619
93,-0.03012279,0.01037381,0.2282203
94,-0.02811928,0.01783382,0.228431
95,-0.02366017,0.02119946,0.236526
96,-0.02182268,0.02755289,0.2389313
97,-0.02064821,0.02759644,0.2396538
98,-0.02050587,0.0227561,0.236388
99,-0.02071969,0.005412203,0.2296412
100,-0.01917671,0.002114783,0.2283109
101,-0.01760932,-0.007707247,0.2277194
102,-0.0167387,-0.0191791,0.228598
103,-0.01589686,-0.02998693,0.2277018
104,-0.01525874,-0.04608743,0.2245369
105,-0.0142136,-0.0538647,0.2236212
106,-0.01317183,-0.06161752,0.2227087
107,-0.01509104,-0.08283354,0.2186061
108,-0.0150429,-0.083295,0.2169445
109,-0.01247267,-0.07621688,0.2228597
110,-0.01297646,-0.07813111,0.2357843
111,-0.01530961,-0.07618428,0.2332294
112,-0.01676077,-0.07619312,0.2313756
113,-0.01705924,-0.07927686,0.2320696
114,-0.01540211,-0.07104908,0.2276736
115,-0.01668762,-0.06304387,0.2307734
116,-0.0187985,-0.05058946,0.2358257
117,-0.02058061,-0.04082334,0.2385821
118,-0.02258405,-0.03101861,0.24081
119,-0.02448097,-0.02293488,0.2404082
120,-0.02608229,-0.01484509,0.2400253
121,-0.02787814,-0.007240716,0.2409963
122,-0.02949934,8.312907E-05,0.2424439
123,-0.03108392,0.008269301,0.2444556
124,-0.0326005,0.01562337,0.2457235
125,-0.03411563,0.02297678,0.2469917
126,-0.03259617,0.02223271,0.2510795
127,-0.03372649,0.02855073,0.2526999
128,-0.03485568,0.03487099,0.2543211
129,-0.03053035,0.01335941,0.2506524
130,-0.0309906,0.01627783,0.251636
131,-0.03145014,0.01919514,0.2526192
132,-0.03190878,0.02211015,0.2536016
133,-0.03038066,0.01029637,0.2528712
134,-0.02949663,-0.009013156,0.2516723
135,-0.02880807,-0.02456829,0.2533667
136,-0.02893708,-0.05119105,0.2575993
137,-0.02848067,-0.08855361,0.2541646
138,-0.02714255,-0.1121484,0.2465074
139,-0.02699939,-0.1218685,0.2461594
140,-0.0268561,-0.1315833,0.2458112
141,-0.0267125,-0.1413058,0.2454623
142,-0.0251121,-0.1480444,0.238659
143,-0.02350926,-0.142165,0.2371428
144,-0.01479525,-0.08976185,0.2629183
145,-0.01289185,-0.0728673,0.2570306
146,-0.01148717,-0.0652433,0.2455853
147,-0.01025617,-0.06554321,0.2448892
148,-0.009022219,-0.06584368,0.2441924
149,-0.007785592,-0.06614465,0.2434948
150,0.0009920541,-0.02021411,0.2535446
151,0.003767524,-0.01092231,0.2574323
152,0.006546296,0.01276165,0.2692901
153,0.006466802,0.04224436,0.2780909
154,0.00771758,0.05063038,0.2762321
155,0.01203519,0.05469959,0.2793232
156,0.01403937,0.06245849,0.2812275
157,0.01604081,0.07020654,0.2831291
158,0.01892186,0.07777164,0.2933257
159,0.0210039,0.08551133,0.2959304
160,0.02072433,0.05732187,0.2902282
161,0.02261147,0.06207917,0.2921506
162,0.02068985,0.03904692,0.2810652
163,0.02019747,-0.009155071,0.2646108
164,0.02236518,-0.03579081,0.2687929
165,0.02317245,-0.04822611,0.2679158
166,0.02457811,-0.05366931,0.2676066
167,0.0246115,-0.07459565,0.2640424
168,0.02211858,-0.1144615,0.2563427
169,0.01742641,-0.1115413,0.2536547
170,0.01780258,-0.1203101,0.2522552
171,0.01817828,-0.1290666,0.2508572
172,0.01855334,-0.1378071,0.2494611
173,0.01892538,-0.1038826,0.2865173
174,0.01928262,-0.109206,0.2883624
175,0.01964037,-0.1145297,0.2902083
176,0.01710805,-0.1090372,0.3046679
177,0.01382096,-0.09938563,0.2928319
178,0.01423677,-0.1018109,0.265591
179,0.01415906,-0.105045,0.2652616
180,0.01204304,-0.07232581,0.2484522
181,0.008728191,-0.04333273,0.2543021
182,0.005362704,-0.01947798,0.267113
183,0.004706062,-0.01625068,0.2670467
184,0.003073733,-0.009125359,0.2699956
185,-0.001018278,0.01714955,0.2868735
186,-0.005058138,0.06487215,0.2945692
187,-0.005959876,0.07140236,0.2870358
188,-0.009567142,0.08147033,0.2918158
189,-0.01052812,0.08667873,0.3023212
190,-0.01179057,0.09434365,0.3042986
191,-0.01305035,0.1019939,0.3062722
192,-0.01431141,0.1096536,0.3082484
193,-0.009200001,0.07193857,0.2999012
194,-0.008053947,0.05116914,0.2897448
195,-0.006709786,0.01388194,0.2804097
196,-0.007495143,-0.009052379,0.2790611
197,-0.007812826,-0.01991528,0.2816594
198,-0.006648319,-0.06595127,0.2850197
199,-0.006149422,-0.1024953,0.2767229
200,-0.001816386,-0.156027,0.2580707
201,-0.001794552,-0.167415,0.2561853
202,-2.394244E-05,-0.1678838,0.2538356
203,0.002910674,-0.12493,0.2653325
204,0.004964225,-0.08264484,0.2883144
205,0.005476486,-0.08548837,0.2892299
206,0.01206141,-0.07426222,0.2642114
207,0.01488656,-0.03346724,0.2660898
208,0.01147063,0.01050133,0.2862514
